"RPE_CDE_RISK_BOOK","RPE_CDE_PORTFOLIO","RPE_CDE_EXPENSE","RPE_TSP_REC_CREATE","RPE_TSP_REC_UPDATE","RPE_UID_REC_CREATE","RPE_UID_REC_UPDATE","RPE_IND_ACTIVE"
"BCF  ","HFIAU","BP_COL         ","2019-06-26 03:50:33","2019-06-26 03:50:33","ADM_PETE","ADM_PETE","Y"
"BCF  ","HFIAU","BP_PRF         ","2019-06-26 03:50:33","2019-06-26 03:50:33","ADM_PETE","ADM_PETE","Y"
"BCF  ","HFIAU","BP_RES         ","2019-06-26 03:50:33","2019-06-26 03:50:33","ADM_PETE","ADM_PETE","Y"
"BCF  ","HFIAU","BP_PRE         ","2019-06-26 03:50:33","2019-06-26 03:50:33","ADM_PETE","ADM_PETE","Y"
"BCF  ","HFIAU","BP_SAF         ","2019-06-26 03:50:33","2019-06-26 03:50:33","ADM_PETE","ADM_PETE","Y"
"BCF  ","HFIAU","CS_PVT         ","2019-06-26 03:50:33","2019-06-26 03:50:33","ADM_PETE","ADM_PETE","Y"
"GTS  ","INTER","GT181P         ","2019-06-26 03:51:30","2019-06-26 03:51:30","ADM_PETE","ADM_PETE","Y"
"GTS  ","INTER","RB_JOE         ","2019-06-26 03:51:30","2019-06-26 03:51:30","ADM_PETE","ADM_PETE","Y"
"DCM  ","AFSAU","DM_PSS         ","2019-06-26 03:52:08","2019-06-26 03:52:08","ADM_PETE","ADM_PETE","Y"
"DCM  ","HFIAU","DM_PSS         ","2019-06-26 03:52:08","2019-06-26 03:52:08","ADM_PETE","ADM_PETE","Y"
"DCM  ","SYNAU","DM_PSS         ","2019-06-26 03:52:08","2019-06-26 03:52:08","ADM_PETE","ADM_PETE","Y"
"DCM  ","HFIAU","DM_AGY         ","2020-02-04 10:10:09","2020-02-04 10:10:09","CMARTILL","CMARTILL","Y"
"RISKI","NONE ","TM_PRE         ","2020-06-22 15:15:35","2020-06-22 15:15:35","CFRANCI5","CFRANCI5","Y"
"RISKC","NONE ","TM_PRF         ","2020-06-22 20:19:06","2020-06-22 20:19:06","CFRANCI5","CFRANCI5","Y"
