SCH_RID_SCHEDULE,SCH_NUM_TRAN_RLSD,SCH_RID_OWNER,SCH_CDE_OWNER_TYPE,SCH_TSP_REC_CREATE,SCH_TSP_REC_UPDATE,SCH_UID_REC_CREATE,SCH_UID_REC_UPDATE,SCH_CDE_OBJ_STATE,SCH_CDE_BAL_TYPE,SCH_AMT_MIN_MULT,SCH_IND_BILL_BORR,SCH_NUM_BILL_DAYS,SCH_TXT_SCH_TYPE,SCH_NUM_AMORT_PRDS,SCH_DTE_SCHEDULED,SCH_AMT_FIXED,SCH_AMT_RESIDUAL,SCH_IND_UNCOND_AMT,SCH_AMT_RAMORT_THD,SCH_DTE_AMORT_END,SCH_AMT_PREV_FIXED,SCH_NUM_INTERVALS,SCH_IND_ACHG_LASTP,SCH_CDE_BRANCH
(7EFH12A,0,(7EFH0YK,"OST  ",2020-08-25 13:24:40,2020-08-25 13:32:04,CMARTILL,CMARTILL,REVEW,PRINI,0,N,10,"D2                  ",0,2020-05-28 00:00:00,1000,0,N,0,,0,,N,CG852
(7EFHHHX,1,(7EFHHE2,"OST  ",2020-08-25 16:09:23,2020-09-11 15:41:36,CMARTILL,RPTSUP01,RELSD,PRINI,0,N,10,"D2                  ",0,2020-05-28 00:00:00,400,0,N,0,,0,,N,CG852
(7EFHXDR,0,(7EFHXA9,"OST  ",2020-08-25 17:36:40,2020-08-25 17:52:49,CMARTILL,CMARTILL,REVEW,PRINI,0,N,10,"D2                  ",0,2020-05-28 00:00:00,700,0,N,0,,0,,N,CG852
*4EGPAKZ,0,VJEGNL0B,"OST  ",2020-09-18 09:07:08,2020-09-18 11:47:46,LIQSVR05,LIQSVR04,REVEW,PRINI,0,N,10,"QUA                 ",0,2020-09-25 00:00:00,2500,0,N,0,,0,,N,CG852
*=EDQAFB,1,*=EDQADP,FCTRN,2020-07-22 16:20:23,2020-07-22 16:20:23,DANUSR01,DANUSR01,RELSD,FCOMM,0,N,10,"Non Standard        ",0,,0,0,N,0,,0,,N,
*?EDQB2S,1,*?EDQB16,FCTRN,2020-07-22 16:31:59,2020-07-22 16:31:59,DANUSR01,DANUSR01,REVEW,FCOMM,0,N,10,"Non Standard        ",0,,0,0,N,0,,0,,N,
.UEF9UBO,0,.UEF9UA1,FCTRN,2020-08-21 16:13:59,2020-08-21 16:13:59,"JCUSR01 ","JCUSR01 ",RELSD,FCOMM,0,N,10,"Non Standard        ",0,,0,0,N,0,,0,,N,
0-EDP29T,1,0-EDP287,FCTRN,2020-07-22 00:22:27,2020-07-22 00:22:27,DANUSR01,DANUSR01,REVEW,FCOMM,0,N,10,"Non Standard        ",0,,0,0,N,0,,0,,N,
0AEGNRLT,1,0AEGNRGP,"OST  ",2020-09-17 13:19:18,2020-09-18 10:04:23,LIQUSR05,MANZANOS,RELSD,PRINI,0,N,10,"QUA                 ",0,2020-12-28 00:00:00,276.25,0,N,0,,0,,N,CG852
0HEGNTTI,1,0HEGNTQ8,"OST  ",2020-09-17 13:30:52,2020-09-18 11:28:14,LIQUSR05,LIQUSR05,RELSD,PRINI,0,N,10,"QUA                 ",0,2020-12-28 00:00:00,213.75,0,N,0,,0,,N,CG852
0IEDP1MW,1,0IEDP1LA,FCTRN,2020-07-22 00:12:35,2020-07-22 00:12:35,DANUSR01,DANUSR01,RELSD,FCOMM,0,N,10,"Non Standard        ",0,,0,0,N,0,,0,,N,
