"SCI_RID_ITEM","SCI_AMT_ITEM","SCI_DTE_EFFECTIVE","SCI_RID_SCHEDULE","SCI_IND_UNSCHEDULE","SCI_TSP_REC_CREATE","SCI_TSP_REC_UPDATE","SCI_UID_REC_CREATE","SCI_UID_REC_UPDATE","SCI_PCT_ORIG_BAL","SCI_DTE_TARGET","SCI_AMT_INTEREST","SCI_AMT_INT_PAID","SCI_AMT_PRIN_PAID","SCI_DTE_ACCR_EFFEC","SCI_AMT_BILL_FACE","SCI_AMT_DISCOUNT","SCI_AMT_NETYLD_INT","SCI_AMT_PROCEEDS","SCI_AMT_SVFEE","SCI_CDE_CON_BIL_OP","SCI_CDE_F_BAL_TYPE","SCI_DTE_ACT_DUE","SCI_DTE_LNK_ASSET","SCI_DTE_LNK_DONE","SCI_IND_DEFICIENT","SCI_IND_LAST_DAY","SCI_NUM_GRACE_DAYS","SCI_NUM_INTR_DAYS","SCI_PCT_FAC_SC_ITM","SCI_RID_CTR_ITEM","SCI_CDE_OBJ_DB_ST","SCI_TSP_PRN_UPDATE","SCI_CDE_BRANCH"
"(7EFH2HE","-1000","2020-05-28 00:00:00","(7EFH12A","N","2020-08-25 13:24:40","2020-08-25 13:24:40","CMARTILL","CMARTILL","0.1","2020-05-27 00:00:00","","0","0","","","","0","","0","NONE ","","2020-05-28 00:00:00","","","","N","","","","","PEND ","","CG852"
"(7EFH3W8","-1000","2020-05-29 00:00:00","(7EFH12A","N","2020-08-25 13:24:40","2020-08-25 13:24:40","CMARTILL","CMARTILL","0.1","2020-05-27 00:00:00","","0","0","","","","0","","0","NONE ","","2020-05-30 00:00:00","","","","N","","","","","PEND ","","CG852"
"(7EFH5B2","-1000","2020-06-02 00:00:00","(7EFH12A","N","2020-08-25 13:24:40","2020-08-25 13:24:40","CMARTILL","CMARTILL","0.1","2020-05-27 00:00:00","","0","0","","","","0","","0","NONE ","","2020-06-01 00:00:00","","","","N","","","","","PEND ","","CG852"
"(7EFH6PW","-1000","2020-06-03 00:00:00","(7EFH12A","N","2020-08-25 13:24:40","2020-08-25 13:24:40","CMARTILL","CMARTILL","0.1","2020-05-28 00:00:00","","0","0","","","","0","","0","NONE ","","2020-06-03 00:00:00","","","","N","","","","","PEND ","","CG852"
"(7EFH84Q","-1000","2020-06-05 00:00:00","(7EFH12A","N","2020-08-25 13:24:40","2020-08-25 13:24:40","CMARTILL","CMARTILL","0.1","2020-06-02 00:00:00","","0","0","","","","0","","0","NONE ","","2020-06-05 00:00:00","","","","N","","","","","PEND ","","CG852"
"(7EFH9JK","-1000","2020-06-08 00:00:00","(7EFH12A","N","2020-08-25 13:24:40","2020-08-25 13:24:40","CMARTILL","CMARTILL","0.1","2020-06-03 00:00:00","","0","0","","","","0","","0","NONE ","","2020-06-07 00:00:00","","","","N","","","","","PEND ","","CG852"
"(7EFHAYE","-1000","2020-06-09 00:00:00","(7EFH12A","N","2020-08-25 13:24:40","2020-08-25 13:24:40","CMARTILL","CMARTILL","0.1","2020-06-04 00:00:00","","0","0","","","","0","","0","NONE ","","2020-06-09 00:00:00","","","","N","","","","","PEND ","","CG852"
"(7EFHCD8","-1000","2020-06-11 00:00:00","(7EFH12A","N","2020-08-25 13:24:40","2020-08-25 13:24:40","CMARTILL","CMARTILL","0.1","2020-06-08 00:00:00","","0","0","","","","0","","0","NONE ","","2020-06-11 00:00:00","","","","N","","","","","PEND ","","CG852"
"(7EFHDS2","-1000","2020-06-15 00:00:00","(7EFH12A","N","2020-08-25 13:24:40","2020-08-25 13:24:40","CMARTILL","CMARTILL","0.1","2020-06-10 00:00:00","","0","0","","","","0","","0","NONE ","","2020-06-13 00:00:00","","","","N","","","","","PEND ","","CG852"
"(7EFHF6W","-1000","2020-06-17 00:00:00","(7EFH12A","N","2020-08-25 13:24:40","2020-08-25 13:24:40","CMARTILL","CMARTILL","0.1","2020-06-12 00:00:00","","0","0","","","","0","","0","NONE ","","2020-06-17 00:00:00","","","","N","","","","","PEND ","","CG852"
"(7EFHIWV","-400","2020-05-28 00:00:00","(7EFHHHX","N","2020-08-25 16:09:23","2020-09-11 15:41:36","CMARTILL","RPTSUP01","0.1","2020-05-27 00:00:00","","0","400","2020-05-28 00:00:00","","","0","","0","NONE ","","2020-05-28 00:00:00","","","N","N","","","","","PEND ","","CG852"
"(7EFHKBP","-400","2020-05-29 00:00:00","(7EFHHHX","N","2020-08-25 16:09:23","2020-08-25 17:18:22","CMARTILL","RPTSUP01","0.1","2020-05-27 00:00:00","","0","0","2020-05-29 00:00:00","","","0","","0","NONE ","","2020-05-30 00:00:00","","","N","N","","","","","PEND ","","CG852"
"(7EFHLQJ","-400","2020-06-02 00:00:00","(7EFHHHX","N","2020-08-25 16:09:23","2020-08-25 17:18:22","CMARTILL","RPTSUP01","0.1","2020-05-27 00:00:00","","0","0","2020-06-02 00:00:00","","","0","","0","NONE ","","2020-06-01 00:00:00","","","N","N","","","","","PEND ","","CG852"
"(7EFHN5D","-400","2020-06-03 00:00:00","(7EFHHHX","N","2020-08-25 16:09:23","2020-08-25 17:18:22","CMARTILL","RPTSUP01","0.1","2020-05-28 00:00:00","","0","0","2020-06-03 00:00:00","","","0","","0","NONE ","","2020-06-03 00:00:00","","","N","N","","","","","PEND ","","CG852"
"(7EFHOK7","-400","2020-06-05 00:00:00","(7EFHHHX","N","2020-08-25 16:09:23","2020-08-25 17:18:22","CMARTILL","RPTSUP01","0.1","2020-06-02 00:00:00","","0","0","2020-06-05 00:00:00","","","0","","0","NONE ","","2020-06-05 00:00:00","","","N","N","","","","","PEND ","","CG852"
"(7EFHPZ1","-400","2020-06-08 00:00:00","(7EFHHHX","N","2020-08-25 16:09:23","2020-08-25 17:18:22","CMARTILL","RPTSUP01","0.1","2020-06-03 00:00:00","","0","0","2020-06-08 00:00:00","","","0","","0","NONE ","","2020-06-07 00:00:00","","","N","N","","","","","PEND ","","CG852"
"(7EFHRDV","-400","2020-06-09 00:00:00","(7EFHHHX","N","2020-08-25 16:09:23","2020-08-25 17:18:22","CMARTILL","RPTSUP01","0.1","2020-06-04 00:00:00","","0","0","2020-06-09 00:00:00","","","0","","0","NONE ","","2020-06-09 00:00:00","","","N","N","","","","","PEND ","","CG852"
"(7EFHSSP","-400","2020-06-11 00:00:00","(7EFHHHX","N","2020-08-25 16:09:23","2020-08-25 17:18:22","CMARTILL","RPTSUP01","0.1","2020-06-08 00:00:00","","0","0","2020-06-11 00:00:00","","","0","","0","NONE ","","2020-06-11 00:00:00","","","N","N","","","","","PEND ","","CG852"
"(7EFHU7J","-400","2020-06-15 00:00:00","(7EFHHHX","N","2020-08-25 16:09:23","2020-08-25 17:18:22","CMARTILL","RPTSUP01","0.1","2020-06-10 00:00:00","","0","0","2020-06-15 00:00:00","","","0","","0","NONE ","","2020-06-13 00:00:00","","","N","N","","","","","PEND ","","CG852"
"(7EFHVMD","-400","2020-06-17 00:00:00","(7EFHHHX","N","2020-08-25 16:09:23","2020-08-25 17:18:22","CMARTILL","RPTSUP01","0.1","2020-06-12 00:00:00","","0","0","2020-06-17 00:00:00","","","0","","0","NONE ","","2020-06-17 00:00:00","","","N","N","","","","","PEND ","","CG852"
"(7EFHYSP","-700","2020-05-28 00:00:00","(7EFHXDR","N","2020-08-25 17:36:40","2020-08-25 17:59:04","CMARTILL","RPTSUP01","0.1","2020-05-27 00:00:00","","0","0","2020-05-28 00:00:00","","","0","","0","NONE ","","2020-05-28 00:00:00","","","N","N","","","","","PEND ","","CG852"
"(7EFI07J","-700","2020-05-29 00:00:00","(7EFHXDR","N","2020-08-25 17:36:40","2020-08-25 17:59:04","CMARTILL","RPTSUP01","0.1","2020-05-27 00:00:00","","0","0","2020-05-29 00:00:00","","","0","","0","NONE ","","2020-05-30 00:00:00","","","N","N","","","","","PEND ","","CG852"
"(7EFI1MD","-700","2020-06-02 00:00:00","(7EFHXDR","N","2020-08-25 17:36:40","2020-08-25 17:59:04","CMARTILL","RPTSUP01","0.1","2020-05-27 00:00:00","","0","0","2020-06-02 00:00:00","","","0","","0","NONE ","","2020-06-01 00:00:00","","","N","N","","","","","PEND ","","CG852"
"(7EFI317","-700","2020-06-03 00:00:00","(7EFHXDR","N","2020-08-25 17:36:40","2020-08-25 17:59:04","CMARTILL","RPTSUP01","0.1","2020-05-28 00:00:00","","0","0","2020-06-03 00:00:00","","","0","","0","NONE ","","2020-06-03 00:00:00","","","N","N","","","","","PEND ","","CG852"
"(7EFI4G1","-700","2020-06-05 00:00:00","(7EFHXDR","N","2020-08-25 17:36:40","2020-08-25 17:59:04","CMARTILL","RPTSUP01","0.1","2020-06-02 00:00:00","","0","0","2020-06-05 00:00:00","","","0","","0","NONE ","","2020-06-05 00:00:00","","","N","N","","","","","PEND ","","CG852"
"(7EFI5UV","-700","2020-06-08 00:00:00","(7EFHXDR","N","2020-08-25 17:36:40","2020-08-25 17:59:04","CMARTILL","RPTSUP01","0.1","2020-06-03 00:00:00","","0","0","2020-06-08 00:00:00","","","0","","0","NONE ","","2020-06-07 00:00:00","","","N","N","","","","","PEND ","","CG852"
"(7EFI79P","-700","2020-06-09 00:00:00","(7EFHXDR","N","2020-08-25 17:36:40","2020-08-25 17:59:04","CMARTILL","RPTSUP01","0.1","2020-06-04 00:00:00","","0","0","2020-06-09 00:00:00","","","0","","0","NONE ","","2020-06-09 00:00:00","","","N","N","","","","","PEND ","","CG852"
"(7EFI8OJ","-700","2020-06-11 00:00:00","(7EFHXDR","N","2020-08-25 17:36:40","2020-08-25 17:59:04","CMARTILL","RPTSUP01","0.1","2020-06-08 00:00:00","","0","0","2020-06-11 00:00:00","","","0","","0","NONE ","","2020-06-11 00:00:00","","","N","N","","","","","PEND ","","CG852"
"(7EFIA3D","-700","2020-06-15 00:00:00","(7EFHXDR","N","2020-08-25 17:36:40","2020-08-25 17:59:04","CMARTILL","RPTSUP01","0.1","2020-06-10 00:00:00","","0","0","2020-06-15 00:00:00","","","0","","0","NONE ","","2020-06-13 00:00:00","","","N","N","","","","","PEND ","","CG852"
"(7EFIBI7","-700","2020-06-17 00:00:00","(7EFHXDR","N","2020-08-25 17:36:40","2020-08-25 17:59:04","CMARTILL","RPTSUP01","0.1","2020-06-12 00:00:00","","0","0","2020-06-17 00:00:00","","","0","","0","NONE ","","2020-06-17 00:00:00","","","N","N","","","","","PEND ","","CG852"
"*4EGPALS","-2500","2020-09-25 00:00:00","*4EGPAKZ","N","2020-09-18 09:07:08","2020-09-18 09:07:08","LIQSVR05","LIQSVR05","0.125","2020-09-22 00:00:00","","0","0","2020-09-25 00:00:00","","","0","","0","NONE ","","2020-09-25 00:00:00","","","","N","","","","","PEND ","","CG852"
"*4EGPAMC","-2500","2020-12-28 00:00:00","*4EGPAKZ","N","2020-09-18 09:07:08","2020-09-18 09:07:08","LIQSVR05","LIQSVR05","0.125","2020-12-22 00:00:00","","0","0","2020-12-28 00:00:00","","","0","","0","NONE ","","2020-12-25 00:00:00","","","","N","","","","","PEND ","","CG852"
"*4EGPAMW","-2500","2021-03-25 00:00:00","*4EGPAKZ","N","2020-09-18 09:07:08","2020-09-18 09:07:08","LIQSVR05","LIQSVR05","0.125","2021-03-22 00:00:00","","0","0","2021-03-25 00:00:00","","","0","","0","NONE ","","2021-03-25 00:00:00","","","","N","","","","","PEND ","","CG852"
"*4EGPANG","-2500","2021-06-25 00:00:00","*4EGPAKZ","N","2020-09-18 09:07:08","2020-09-18 09:07:08","LIQSVR05","LIQSVR05","0.125","2021-06-22 00:00:00","","0","0","2021-06-25 00:00:00","","","0","","0","NONE ","","2021-06-25 00:00:00","","","","N","","","","","PEND ","","CG852"
"*4EGPAO0","-2500","2021-09-27 00:00:00","*4EGPAKZ","N","2020-09-18 09:07:08","2020-09-18 09:07:08","LIQSVR05","LIQSVR05","0.125","2021-09-22 00:00:00","","0","0","2021-09-27 00:00:00","","","0","","0","NONE ","","2021-09-25 00:00:00","","","","N","","","","","PEND ","","CG852"
"*4EGPAOK","-2500","2021-12-27 00:00:00","*4EGPAKZ","N","2020-09-18 09:07:08","2020-09-18 09:07:08","LIQSVR05","LIQSVR05","0.125","2021-12-22 00:00:00","","0","0","2021-12-27 00:00:00","","","0","","0","NONE ","","2021-12-25 00:00:00","","","","N","","","","","PEND ","","CG852"
"*4EGPAP4","-2500","2022-03-25 00:00:00","*4EGPAKZ","N","2020-09-18 09:07:08","2020-09-18 09:07:08","LIQSVR05","LIQSVR05","0.125","2022-03-22 00:00:00","","0","0","2022-03-25 00:00:00","","","0","","0","NONE ","","2022-03-25 00:00:00","","","","N","","","","","PEND ","","CG852"
"*4EGPAPO","-2500","2022-05-27 00:00:00","*4EGPAKZ","N","2020-09-18 09:07:08","2020-09-18 09:07:08","LIQSVR05","LIQSVR05","0.125","2022-05-23 00:00:00","","0","0","2022-05-27 00:00:00","","","0","","0","NONE ","","2022-06-25 00:00:00","","","","N","","","","","PEND ","","CG852"
"+:EFZTIL","-2300","2020-05-28 00:00:00","H+EFJ200","Y","2020-09-04 16:18:54","2020-09-04 16:29:47","LIQUSR03","LIQUSR03","0.0032904148784","2020-06-01 00:00:00","","0","1100","2020-05-28 00:00:00","","","0","","0","NONE ","","2020-05-28 00:00:00","","","N","N","","","","","PEND ","","CG852"
".UEF9UBP","-543788","2019-12-30 00:00:00",".UEF9UBO","N","2020-08-21 16:13:59","2020-08-21 16:13:59","JCUSR01 ","JCUSR01 ","0","2020-09-09 00:00:00","","0","0","","","","","","","","","","","","","","","","0.00874741788236","","PEND ","",""
".UEF9UBR","-611915","2020-03-20 00:00:00",".UEF9UBO","N","2020-08-21 16:13:59","2020-08-21 16:13:59","JCUSR01 ","JCUSR01 ","0","2020-09-09 00:00:00","","0","0","","","","","","","","","","","","","","","","0.00984331433111","","PEND ","",""
".UEF9UBT","-622671","2020-06-22 00:00:00",".UEF9UBO","N","2020-08-21 16:13:59","2020-08-21 16:13:59","JCUSR01 ","JCUSR01 ","0","2020-09-09 00:00:00","","0","0","","","","","","","","","","","","","","","","0.01001633621968","","PEND ","",""
".UEF9UBV","-60387171","2020-06-30 00:00:00",".UEF9UBO","N","2020-08-21 16:13:59","2020-08-21 16:13:59","JCUSR01 ","JCUSR01 ","0","2020-09-09 00:00:00","","0","0","","","","","","","","","","","","","","","","0.97139293156683","","PEND ","",""
"0AEGNRMO","-176.25","2020-09-25 00:00:00","0AEGNRLT","N","2020-09-17 13:19:18","2020-09-18 10:04:23","LIQUSR05","MANZANOS","0.07975113122172","2020-09-22 00:00:00","","0","176.25","2020-09-25 00:00:00","","","0","","0","NONE ","","2020-09-25 00:00:00","","","N","N","","","","","PEND ","","CG852"
"0AEGNRN8","-276.25","2020-12-28 00:00:00","0AEGNRLT","N","2020-09-17 13:19:18","2020-09-17 14:47:07","LIQUSR05","LIQSVR04","0.125","2020-12-22 00:00:00","","0","0","2020-12-28 00:00:00","","","0","","0","NONE ","","2020-12-25 00:00:00","","","N","N","","","","","PEND ","","CG852"
"0AEGNRNS","-276.25","2021-03-25 00:00:00","0AEGNRLT","N","2020-09-17 13:19:18","2020-09-17 14:47:07","LIQUSR05","LIQSVR04","0.125","2021-03-22 00:00:00","","0","0","2021-03-25 00:00:00","","","0","","0","NONE ","","2021-03-25 00:00:00","","","N","N","","","","","PEND ","","CG852"
"0AEGNROC","-276.25","2021-06-25 00:00:00","0AEGNRLT","N","2020-09-17 13:19:18","2020-09-17 14:47:07","LIQUSR05","LIQSVR04","0.125","2021-06-22 00:00:00","","0","0","2021-06-25 00:00:00","","","0","","0","NONE ","","2021-06-25 00:00:00","","","N","N","","","","","PEND ","","CG852"
"0AEGNROW","-276.25","2021-09-27 00:00:00","0AEGNRLT","N","2020-09-17 13:19:18","2020-09-17 14:47:07","LIQUSR05","LIQSVR04","0.125","2021-09-22 00:00:00","","0","0","2021-09-27 00:00:00","","","0","","0","NONE ","","2021-09-25 00:00:00","","","N","N","","","","","PEND ","","CG852"
"0AEGNRPG","-276.25","2021-12-27 00:00:00","0AEGNRLT","N","2020-09-17 13:19:18","2020-09-17 14:47:07","LIQUSR05","LIQSVR04","0.125","2021-12-22 00:00:00","","0","0","2021-12-27 00:00:00","","","0","","0","NONE ","","2021-12-25 00:00:00","","","N","N","","","","","PEND ","","CG852"
"0AEGNRQ0","-276.25","2022-03-25 00:00:00","0AEGNRLT","N","2020-09-17 13:19:18","2020-09-17 14:47:07","LIQUSR05","LIQSVR04","0.125","2022-03-22 00:00:00","","0","0","2022-03-25 00:00:00","","","0","","0","NONE ","","2022-03-25 00:00:00","","","N","N","","","","","PEND ","","CG852"
"0AEGNRQK","-276.25","2022-05-27 00:00:00","0AEGNRLT","N","2020-09-17 13:19:18","2020-09-17 14:47:07","LIQUSR05","LIQSVR04","0.125","2022-05-23 00:00:00","","0","0","2022-05-27 00:00:00","","","0","","0","NONE ","","2022-06-25 00:00:00","","","N","N","","","","","PEND ","","CG852"
"0HEGNTU5","-213.75","2020-09-25 00:00:00","0HEGNTTI","N","2020-09-17 13:30:52","2020-09-18 11:28:14","LIQUSR05","LIQUSR05","0.125","2020-09-22 00:00:00","","0","213.75","2020-09-25 00:00:00","","","0","","0","NONE ","","2020-09-25 00:00:00","","","N","N","","","","","PEND ","","CG852"
"0HEGNTUP","-213.75","2020-12-28 00:00:00","0HEGNTTI","N","2020-09-17 13:30:52","2020-09-17 14:42:52","LIQUSR05","LIQSVR04","0.125","2020-12-22 00:00:00","","0","0","2020-12-28 00:00:00","","","0","","0","NONE ","","2020-12-25 00:00:00","","","N","N","","","","","PEND ","","CG852"
"0HEGNTV9","-213.75","2021-03-25 00:00:00","0HEGNTTI","N","2020-09-17 13:30:52","2020-09-17 14:42:52","LIQUSR05","LIQSVR04","0.125","2021-03-22 00:00:00","","0","0","2021-03-25 00:00:00","","","0","","0","NONE ","","2021-03-25 00:00:00","","","N","N","","","","","PEND ","","CG852"
"0HEGNTVT","-213.75","2021-06-25 00:00:00","0HEGNTTI","N","2020-09-17 13:30:52","2020-09-17 14:42:52","LIQUSR05","LIQSVR04","0.125","2021-06-22 00:00:00","","0","0","2021-06-25 00:00:00","","","0","","0","NONE ","","2021-06-25 00:00:00","","","N","N","","","","","PEND ","","CG852"
"0HEGNTWD","-213.75","2021-09-27 00:00:00","0HEGNTTI","N","2020-09-17 13:30:52","2020-09-17 14:42:52","LIQUSR05","LIQSVR04","0.125","2021-09-22 00:00:00","","0","0","2021-09-27 00:00:00","","","0","","0","NONE ","","2021-09-25 00:00:00","","","N","N","","","","","PEND ","","CG852"
"0HEGNTWX","-213.75","2021-12-27 00:00:00","0HEGNTTI","N","2020-09-17 13:30:52","2020-09-17 14:42:52","LIQUSR05","LIQSVR04","0.125","2021-12-22 00:00:00","","0","0","2021-12-27 00:00:00","","","0","","0","NONE ","","2021-12-25 00:00:00","","","N","N","","","","","PEND ","","CG852"
"0HEGNTXH","-213.75","2022-03-25 00:00:00","0HEGNTTI","N","2020-09-17 13:30:52","2020-09-17 14:42:52","LIQUSR05","LIQSVR04","0.125","2022-03-22 00:00:00","","0","0","2022-03-25 00:00:00","","","0","","0","NONE ","","2022-03-25 00:00:00","","","N","N","","","","","PEND ","","CG852"
"0HEGNTY1","-213.75","2022-05-27 00:00:00","0HEGNTTI","N","2020-09-17 13:30:52","2020-09-17 14:42:52","LIQUSR05","LIQSVR04","0.125","2022-05-23 00:00:00","","0","0","2022-05-27 00:00:00","","","0","","0","NONE ","","2022-06-25 00:00:00","","","N","N","","","","","PEND ","","CG852"
"0JEGNQ15","-100000000","2020-06-25 00:00:00","0JEGNQ0L","N","2020-09-17 13:13:50","2020-09-17 13:13:50","SMANZANO","SMANZANO","0","2020-06-25 00:00:00","","0","0","","","","","","","","","","","","","","","","0","","PEND ","","CG852"
"34EITJEO","-8833333.33","2021-08-12 00:00:00","34EITJ7P","N","2020-10-29 14:52:30","2020-10-29 14:52:30","TESTINP ","TESTINP ","0","2021-08-12 00:00:00","","0","0","","","","","","","","","","","","","","","","0.0883333333","","PEND ","","CG852"
