"SIT_RID_SCHED_TRAN","SIT_RID_TRAN","SIT_CDE_TRAN_TYPE","SIT_RID_ITEM","SIT_TSP_REC_CREATE","SIT_TSP_REC_UPDATE","SIT_UID_REC_CREATE","SIT_UID_REC_UPDATE","SIT_CDE_BRANCH"
"OLEGDNPJ","OLEGDNOT","OTR  ","(7EFHIWV","2020-09-11 14:48:13","2020-09-11 14:48:13","CMARTILL","CMARTILL","CG852"
"*AEGOZFB","*AEGOZER","OTR  ","0AEGNRMO","2020-09-18 05:05:18","2020-09-18 05:05:18","LIQUSR05","LIQUSR05","CG852"
"*AEGOYU2","*AEGOYTI","OTR  ","0HEGNTU5","2020-09-18 04:52:42","2020-09-18 04:52:42","LIQUSR05","LIQUSR05","CG852"
"56EJELI9","56EJELHY","FTR  ","56EJELG5","2020-11-10 00:05:57","2020-11-10 00:05:57","CESSINP1","CESSINP1","CG852"
"*CEHA7R5","*CEHA7QJ","OTR  ",":+EH7WI9","2020-09-29 17:21:11","2020-09-29 17:21:11","SMANZANO","SMANZANO","CG852"
"*.EHA6W6","*.EHA6VK","OTR  ",":+EH7ZV8","2020-09-29 16:40:06","2020-09-29 16:40:06","SMANZANO","SMANZANO","CG852"
"*$EHA9E9","*$EHA9DJ","OTR  ",":+EH8UJU","2020-09-29 17:52:29","2020-09-29 17:52:29","SMANZANO","SMANZANO","CG852"
":6EI3G4H",":6EI3G4E","FTR  ",":6EI3G49","2020-10-15 11:21:40","2020-10-15 11:21:40","LIQUSR03","LIQUSR03","CG852"
"+:EFZTIW","+:EFZTIS","OTR  ","+:EFZTIL","2020-09-04 16:18:54","2020-09-04 16:18:54","LIQUSR03","LIQUSR03","CG852"
"7KEFL0R6","7KEFL0R2","OTR  ","7KEFL0QW","2020-08-27 16:06:38","2020-08-27 16:06:38","LIQUSR03","LIQUSR03","CG852"
"7KEFL0OM","7KEFL0O2","OTR  ","H+EFJ405","2020-08-27 16:01:20","2020-08-27 16:01:20","LIQUSR03","LIQUSR03","CG852"
"51EFXX8F","51EFXX7V","OTR  ","H+EFJ405","2020-09-03 16:20:55","2020-09-03 16:20:55","LIQUSR03","LIQUSR03","CG852"
"7;EFL2HW","7;EFL2H8","OTR  ","H+EFYYC8","2020-08-27 16:18:26","2020-08-27 16:18:26","LIQUSR03","LIQUSR03","CG852"
":OEFW1RT",":OEFW1R5","OTR  ","H+EFYYC8","2020-09-02 15:44:50","2020-09-02 15:44:50","LIQUSR03","LIQUSR03","CG852"
"+:EFZTMZ","+:EFZTMB","OTR  ","H+EFYYC8","2020-09-04 16:23:04","2020-09-04 16:23:04","LIQUSR03","LIQUSR03","CG852"
