"SIC_CDE_SIC","SIC_CDE_COUNTRY","SIC_DSC_SIC","SIC_CDE_CPIC","SIC_IND_ACTIVE","SIC_IND_MAY_DEACT","SIC_UID_REC_CREATE","SIC_UID_REC_UPDATE","SIC_TSP_REC_CREATE","SIC_TSP_REC_UPDATE","SIC_CDE_SIC_MAP","SIC_IND_1098_ELIG"
"325520    ","NS","Adhesive Manufacturing                            ","1205 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:52","12   ","N"
"325611    ","NS","Soap and Other Detergent Manufacturing            ","4601 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:52","46   ","N"
"325612    ","NS","Polish and Other Sanitation Good Manufacturing    ","4601 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:52","46   ","N"
"325613    ","NS","Surface Active Agent Manufacturing                ","1205 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:52","12   ","N"
"325620    ","NS","Toilet Preparation Manufacturing                  ","4602 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:52","46   ","N"
"325910    ","NS","Printing Ink Manufacturing                        ","2401 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:52","24   ","N"
"325920    ","NS","Explosives Manufacturing                          ","1201 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:52","12   ","N"
"325991    ","NS","Custom Compounding of Purchased Resins            ","1205 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:53","12   ","N"
"325992    ","NS","Photographic Film Paper Plate and Chemical Manuf  ","3303 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:53","33   ","N"
"325998    ","NS","All Other Miscellaneous Chemical Product and Prepa","1205 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:53","12   ","N"
"326111    ","NS","Plastics Bag Manufacturing                        ","1402 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:53","14   ","N"
"326112    ","NS","Plastics Packaging Film and Sheet (including Lamin","1402 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:53","14   ","N"
"326113    ","NS","Unlaminated Plastics Film and Sheet (except Packag","1201 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:53","12   ","N"
"326121    ","NS","Unlaminated Plastics Profile Shape Manufacturing  ","1201 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:53","12   ","N"
"326122    ","NS","Plastics Pipe and Pipe Fitting Manufacturing      ","1801 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:53","18   ","N"
"326130    ","NS","Laminated Plastics Plate Sheet (except Packaging) ","1201 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:53","12   ","N"
"326140    ","NS","Polystyrene Foam Product Manufacturing            ","1202 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:53","12   ","N"
