"SWF_RID_SWIFT_BANK","SWF_CDE_SWIFT_BIC","SWF_NME_FULL","SWF_IND_ACTIVE","SWF_IND_MAY_DEACT","SWF_UID_REC_CREATE","SWF_UID_REC_UPDATE","SWF_TSP_REC_CREATE","SWF_TSP_REC_UPDATE","SWF_IND_HOST_BANK","SWF_TXT_BRN_INFO"
"41637572","ADIAINBB    ","ANTWERP DIAMOND BANK NV","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:44","2005-08-04 12:07:44","N",""
"41637579","ADIBANC1    ","ABU DHABI INTL BANK INC","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:45","2005-08-04 12:07:45","N",""
"41637585","ADICAEAA    ","ABU DHABI INVESTMENT COMPANY","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:45","2005-08-04 12:07:45","N",""
"41637591","ADNTGHAC    ","AGRICULTURAL DEVELOPMENT BANK","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:45","2005-08-04 12:07:45","N",""
"41637597","ADROMK2X    ","AD RADOBANK","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:45","2005-08-04 12:07:45","N",""
"41637605","AEBAGRAA    ","AEGEAN BALTIC BANK S.A.","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:45","2005-08-04 12:07:45","N",""
"41637611","AEBBHUHB    ","AEB-RT GENERAL BANKING - TRUST CO","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:45","2005-08-04 12:07:45","N",""
"41637617","AEIBARB1    ","AMERICAN EXPRESS","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:45","2005-08-04 12:07:45","N",""
"41637624","AEIBBDDX    ","AMERICAN EXPRESS BANK LTD","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:46","2005-08-04 12:07:46","N",""
"41637630","AEIBBDDXCTG ","AMERICAN EXPRESS BANK LTD","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:46","2005-08-04 12:07:46","N",""
"41637636","AEIBBRSX    ","BANCO SRL S.A.","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:46","2005-08-04 12:07:46","N",""
