"TRN_CDE_TRANS","TRN_DSC_TRANS","TRN_IND_CIRCLE","TRN_IND_BROKER_TRD","TRN_CDE_BUY_SELL"
"BKRB ","Broker Buy","N","Y","BUY  "
"BKRS ","Broker Sell","N","Y","SELL "
"BUY  ","Buy","Y","N","BUY  "
"BUYB ","Buyback","Y","N","BUY  "
"BUYM ","Buy More","Y","N","BUY  "
"OPRTX","Outside Participation Transfer","Y","N","SELL "
"ORIG ","Origination","N","N",""
"PTBUY","Participation Transfer Buy","Y","N","BUY  "
"PTSEL","Participation Transfer Sell","Y","N","SELL "
"SELL ","Sell","Y","N","SELL "
"SELLB","Sellback","Y","N","SELL "
"SELLM","Sell More","Y","N","SELL "
"SPBUY","Sub-Participation Buy","Y","N","BUY  "
"SPSEL","Sub-Participation Sell","Y","N","SELL "
"SWPI ","Swap in","Y","N","BUY  "
"SWPO ","Swap Out","Y","N","SELL "
