"TRE_RID_OBJECT","TRE_CDE_ACTION","TRE_DTE_EFFECTIVE","TRE_RID_TRAN_EVENT","TRE_IND_ACTIVE","TRE_TSP_REC_CREATE","TRE_TSP_REC_UPDATE","TRE_UID_REC_CREATE","TRE_UID_REC_UPDATE","TRE_CDE_TIP_TYPE","TRE_RID_TIP","TRE_NUM_LENDER_CNT","TRE_CDE_OBJ_TYP","TRE_CDE_VOL_TRACK","TRE_NUM_PART_CNT","TRE_DTE_EFFCT_PREV","TRE_TXT_COMMENT","TRE_CDE_BRANCH"
"!!EF5QK9","CFCAN","2020-05-27 00:00:00","P@EF5XWW","Y","2020-08-19 12:16:22","2020-08-19 12:16:22","CMARTILL","CMARTILL","CFL  ","!!EF5QK9","","CFL  ","","","","",""
"!!EF5QK9","CFREL","2020-05-27 00:00:00","P@EF5XVW","Y","2020-08-19 12:13:18","2020-08-19 12:13:18","CMARTILL","CMARTILL","CFL  ","!!EF5QK9","","CFL  ","","","","",""
"!!EIPUZ0","CSHFL","2021-06-08 00:00:00","!ZEIPVV5","Y","2020-10-27 14:23:58","2020-10-27 14:23:58","MGRALN01","MGRALN01","CFL  ","!!EIPUZ0","","CFL  ","","","","",""
"!!EIPUZ2","CSHFL","2021-06-08 00:00:00","!ZEIPVVC","Y","2020-10-27 14:23:58","2020-10-27 14:23:58","MGRALN01","MGRALN01","CFL  ","!!EIPUZ2","","CFL  ","","","","",""
"!!EJG6MV","CFREL","2021-10-22 00:00:00","!ZEJG7SN","Y","2020-11-10 20:41:05","2020-11-10 20:41:05","MGRAMT02","MGRAMT02","CFL  ","!!EJG6MV","","CFL  ","","","","",""
"!!EJG6MV","CSHFL","2021-10-22 00:00:00","!ZEJG7TX","Y","2020-11-10 20:50:39","2020-11-10 20:50:39","MGRAMT02","MGRAMT02","CFL  ","!!EJG6MV","","CFL  ","","","","",""
"!!EK3RIU","APRVD","2021-11-08 00:00:00","!PEK3RVI","Y","2020-11-23 14:01:05","2020-11-23 14:01:05","MGRRON01","MGRRON01","","","","GTR  ","","","","Approval completed.  Approver: MGRLIQ, MGRLIQ L. Job Function: Deal Administration Manager; Ranking: 10. Location: .",""
"!!EK3RIU","NEW  ","2021-11-08 00:00:00","!!EK3RIV","Y","2020-11-23 13:56:09","2020-11-23 13:56:09","INPRON01","INPRON01","","","","GTR  ","","","","",""
"!!EK3RIU","RELSD","2021-11-08 00:00:00","!PEK3RVJ","Y","2020-11-23 14:01:56","2020-11-23 14:01:56","MGRRON01","MGRRON01","","","","GTR  ","","","","",""
"!!EK3RIU","STA  ","2021-11-08 00:00:00","!!EK3RJ3","Y","2020-11-23 13:58:37","2020-11-23 13:58:37","INPRON01","INPRON01","","","","GTR  ","","","","Warnings occurred during validation: N",""
"!(EG52QL","PRDEC","2020-06-03 00:00:00","47EG5EEM","Y","2020-09-07 17:00:13","2020-09-07 17:00:13","JANICEA1","JANICEA1","LRP  ","4DEG5CY1","","OST  ","","","","Conversion of -1,600,000.00 has been applied.","CG852"
"!(EG52QL","RELSD","2020-06-02 00:00:00","!;EG541N","Y","2020-09-07 11:30:22","2020-09-07 11:30:22","JANICEA1","JANICEA1","OTR  ","!(EG52R5","","OST  ","","","","Released for 1,600,000.00.","CG852"
"!(EG52R5","APRVD","2020-06-02 00:00:00","!@EG539P","Y","2020-09-07 11:28:31","2020-09-07 11:28:31","JANICEA1","JANICEA1","","","","OTR  ","","","","Approval completed.  Approver: JANICEA1, JANICEA1. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","CG852"
"!(EG52R5","CFREL","2020-06-02 00:00:00","!;EG5402","Y","2020-09-07 11:29:55","2020-09-07 11:29:55","JANICEA1","JANICEA1","","","","OTR  ","","","","Cashflow to WSS_JANICE, servicing group DOE(alias:JD)(Amsterdam, Netherlands) for EUR 1,600,000.00.","CG852"
"!(EG52R5","CSHFL","2020-06-02 00:00:00","!;EG541X","Y","2020-09-07 11:30:22","2020-09-07 11:30:22","JANICEA1","JANICEA1","","","","OTR  ","","","","","CG852"
"!(EG52R5","GENLS","2020-06-02 00:00:00","!(EG52SB","Y","2020-09-07 11:27:23","2020-09-07 11:27:23","JAQUITAN","JAQUITAN","","","","OTR  ","","","","","CG852"
"!(EG52R5","LRMAN","2020-06-02 00:00:00","!(EG52U7","Y","2020-09-07 11:27:38","2020-09-07 11:27:38","JAQUITAN","JAQUITAN","","","","OTR  ","","","","Base Rate changed to 2%","CG852"
"!(EG52R5","NEW  ","2020-06-02 00:00:00","!(EG52R6","Y","2020-09-07 11:27:23","2020-09-07 11:27:23","JAQUITAN","JAQUITAN","","","","OTR  ","","","","","CG852"
"!(EG52R5","RAPRD","2020-06-02 00:00:00","!;EG53ZN","Y","2020-09-07 11:29:49","2020-09-07 11:29:49","JANICEA1","JANICEA1","","","","OTR  ","","","","Rate Approval Completed.  Approver: JANICEA1, JANICEA1. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","CG852"
"!(EG52R5","RELSD","2020-06-02 00:00:00","!;EG542E","Y","2020-09-07 11:30:22","2020-09-07 11:30:22","JANICEA1","JANICEA1","","","1","OTR  ","DRAWD","0","","","CG852"
"!(EG52R5","STA  ","2020-06-02 00:00:00","!(EG52VH","Y","2020-09-07 11:27:47","2020-09-07 11:27:47","JAQUITAN","JAQUITAN","","","","OTR  ","","","","Warnings occurred during validation: N","CG852"
"!(EG52R5","STRA ","2020-06-02 00:00:00","!CEG53MT","Y","2020-09-07 11:29:09","2020-09-07 11:29:09","JAQUITAN","JAQUITAN","","","","OTR  ","","","","Warnings occurred during validation: N","CG852"
"!(EG52T7","CFREL","2020-06-02 00:00:00","!;EG5401","Y","2020-09-07 11:29:55","2020-09-07 11:29:55","JANICEA1","JANICEA1","CFL  ","!(EG52T7","","CFL  ","","","","",""
"!(EG52T7","CSHFL","2020-06-02 00:00:00","!;EG541W","Y","2020-09-07 11:30:22","2020-09-07 11:30:22","JANICEA1","JANICEA1","CFL  ","!(EG52T7","","CFL  ","","","","",""
"!*EK4239","CFREL","2021-11-08 00:00:00","P4EK42WT","Y","2020-11-23 16:54:39","2020-11-23 16:54:39","KINGMAN ","KINGMAN ","CFL  ","!*EK4239","","CFL  ","","","","",""
"!*EK4239","CSHFL","2021-11-08 00:00:00","P4EK42Y0","Y","2020-11-23 16:55:26","2020-11-23 16:55:26","KINGMAN ","KINGMAN ","CFL  ","!*EK4239","","CFL  ","","","","",""
"!+EGO3IF","CFREL","2020-11-24 00:00:00","PPEGO4D8","Y","2020-09-17 18:36:05","2020-09-17 18:36:05","MGRAMT01","MGRAMT01","CFL  ","!+EGO3IF","","CFL  ","","","","",""
"!+EGO3IF","CSHFL","2020-11-24 00:00:00","PPEGO4D9","Y","2020-09-17 18:36:05","2020-09-17 18:36:05","MGRAMT01","MGRAMT01","CFL  ","!+EGO3IF","","CFL  ","","","","",""
"!.EJG89O","CFREL","2021-10-22 00:00:00","!OEJG918","Y","2020-11-10 21:15:42","2020-11-10 21:15:42","MGRAMT02","MGRAMT02","CFL  ","!.EJG89O","","CFL  ","","","","",""
"!.EJG89O","CSHFL","2021-10-22 00:00:00","!OEJG92I","Y","2020-11-10 21:17:59","2020-11-10 21:17:59","MGRAMT02","MGRAMT02","CFL  ","!.EJG89O","","CFL  ","","","","",""
"!0EGO2F8","APRVD","2020-06-26 00:00:00","!*EGO3PH","Y","2020-09-17 18:26:15","2020-09-17 18:26:15","MANZANOS","MANZANOS","","","","PTR  ","","","","Approval completed.  Approver: APPROVER1, SHINE. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands. Warnings occurred during validation.","CG852"
"!0EGO2F8","CFREL","2020-06-25 00:00:00","!*EGO3QA","Y","2020-09-17 18:26:27","2020-09-17 18:26:27","MANZANOS","MANZANOS","","","","PTR  ","","","","Cashflow to AMS_CUSTOMER, servicing group DOE(alias:JD)(Amsterdam, Netherlands) for USD 219,000.00.","CG852"
"!0EGO2F8","CSHFL","2020-06-26 00:00:00","!*EGO3QC","Y","2020-09-17 18:26:27","2020-09-17 18:26:27","MANZANOS","MANZANOS","","","","PTR  ","","","","","CG852"
"!0EGO2F8","NEW  ","2020-06-26 00:00:00","!0EGO2F9","Y","2020-09-17 18:17:44","2020-09-17 18:17:44","SMANZANO","SMANZANO","","","","PTR  ","","","","","CG852"
"!0EGO2F8","RELSD","2020-06-25 00:00:00","!*EGO3QF","Y","2020-09-17 18:26:27","2020-09-17 18:26:27","MANZANOS","MANZANOS","","","","PTR  ","","","","","CG852"
"!0EGO2F8","STA  ","2020-06-26 00:00:00","!0EGO2H2","Y","2020-09-17 18:18:15","2020-09-17 18:18:15","SMANZANO","SMANZANO","","","","PTR  ","","","","Warnings occurred during validation: Y","CG852"
"!0EGO2FL","CFREL","2020-06-26 00:00:00","!*EGO3Q8","Y","2020-09-17 18:26:27","2020-09-17 18:26:27","MANZANOS","MANZANOS","CFL  ","!0EGO2FL","","CFL  ","","","","",""
"!0EGO2FL","CSHFL","2020-06-26 00:00:00","!*EGO3Q9","Y","2020-09-17 18:26:27","2020-09-17 18:26:27","MANZANOS","MANZANOS","CFL  ","!0EGO2FL","","CFL  ","","","","",""
"!1EG56MJ","APRVD","2020-06-02 00:00:00","!?EG579W","Y","2020-09-07 11:47:25","2020-09-07 11:47:25","JANICEA1","JANICEA1","","","","LRP  ","","","","Approval completed.  Approver: JANICEA1, JANICEA1. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","CG852"
"!1EG56MJ","CFREL","2020-05-29 00:00:00","!NEG5820","Y","2020-09-07 11:48:48","2020-09-07 11:48:48","JANICEA1","JANICEA1","","","","LRP  ","","","","Cashflow to WSS_JANICE, servicing group DOE(alias:JD)(Amsterdam, Netherlands) for EUR 100,000.00.","CG852"
"!1EG56MJ","CSHFL","2020-06-02 00:00:00","!NEG5822","Y","2020-09-07 11:48:48","2020-09-07 11:48:48","JANICEA1","JANICEA1","","","","LRP  ","","","","","CG852"
"!1EG56MJ","NEW  ","2020-06-02 00:00:00","!1EG56N4","Y","2020-09-07 11:45:42","2020-09-07 11:45:42","JAQUITAN","JAQUITAN","","","","LRP  ","","","","","CG852"
"!1EG56MJ","RAPRD","2020-06-02 00:00:00","!NEG57Z7","Y","2020-09-07 11:48:35","2020-09-07 11:48:35","JANICEA1","JANICEA1","","","","LRP  ","","","","Rate Approval Completed.  Approver: JANICEA1, JANICEA1. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","CG852"
"!1EG56MJ","RELSD","2020-05-29 00:00:00","!NEG583U","Y","2020-09-07 11:48:48","2020-09-07 11:48:48","JANICEA1","JANICEA1","","","1","LRP  ","DRAWD","0","","","CG852"
"!1EG56MJ","STA  ","2020-06-02 00:00:00","!1EG56UK","Y","2020-09-07 11:46:33","2020-09-07 11:46:33","JAQUITAN","JAQUITAN","","","","LRP  ","","","","Warnings occurred during validation: N","CG852"
"!1EG56MJ","STRA ","2020-06-02 00:00:00","!SEG57MK","Y","2020-09-07 11:47:58","2020-09-07 11:47:58","JAQUITAN","JAQUITAN","","","","LRP  ","","","","Warnings occurred during validation: N","CG852"
"!1EG56ML","APRVD","2020-06-02 00:00:00","!?EG579Y","Y","2020-09-07 11:47:25","2020-09-07 11:47:25","JANICEA1","JANICEA1","","","","OTR  ","","","","Approval completed.  Approver: JANICEA1, JANICEA1. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","CG852"
"!1EG56ML","GENLS","2020-06-02 00:00:00","!1EG56MU","Y","2020-09-07 11:45:42","2020-09-07 11:45:42","JAQUITAN","JAQUITAN","","","","OTR  ","","","","","CG852"
"!1EG56ML","NEW  ","2020-06-02 00:00:00","!1EG56MM","Y","2020-09-07 11:45:42","2020-09-07 11:45:42","JAQUITAN","JAQUITAN","","","","OTR  ","","","","","CG852"
"!1EG56ML","RELSD","2020-05-29 00:00:00","!NEG582E","Y","2020-09-07 11:48:48","2020-09-07 11:48:48","JANICEA1","JANICEA1","","","","OTR  ","","","","","CG852"
"!1EG56ML","STA  ","2020-06-02 00:00:00","!1EG56UM","Y","2020-09-07 11:46:33","2020-09-07 11:46:33","JAQUITAN","JAQUITAN","","","","OTR  ","","","","Warnings occurred during validation: N","CG852"
"!1EG56OY","RELSD","2020-05-29 00:00:00","!NEG582J","Y","2020-09-07 11:48:48","2020-09-07 11:48:48","JANICEA1","JANICEA1","LRP  ","!1EG56MJ","","OST  ","","","","Released by Repricing","CG852"
"!1EG56PI","APRVD","2020-06-02 00:00:00","!?EG579X","Y","2020-09-07 11:47:25","2020-09-07 11:47:25","JANICEA1","JANICEA1","","","","OTR  ","","","","Approval completed.  Approver: JANICEA1, JANICEA1. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","CG852"
"!1EG56PI","GENLS","2020-06-02 00:00:00","!1EG56QL","Y","2020-09-07 11:46:04","2020-09-07 11:46:04","JAQUITAN","JAQUITAN","","","","OTR  ","","","","","CG852"
"!1EG56PI","LRMAN","2020-06-02 00:00:00","!1EG56S0","Y","2020-09-07 11:46:10","2020-09-07 11:46:10","JAQUITAN","JAQUITAN","","","","OTR  ","","","","Base Rate changed to 2%","CG852"
"!1EG56PI","NEW  ","2020-06-02 00:00:00","!1EG56PJ","Y","2020-09-07 11:46:04","2020-09-07 11:46:04","JAQUITAN","JAQUITAN","","","","OTR  ","","","","","CG852"
"!1EG56PI","RELSD","2020-05-29 00:00:00","!NEG5837","Y","2020-09-07 11:48:48","2020-09-07 11:48:48","JANICEA1","JANICEA1","","","1","OTR  ","ROLCV","0","","","CG852"
"!1EG56PI","STA  ","2020-06-02 00:00:00","!1EG56UO","Y","2020-09-07 11:46:33","2020-09-07 11:46:33","JAQUITAN","JAQUITAN","","","","OTR  ","","","","Warnings occurred during validation: N","CG852"
"!1EG56SG","CFREL","2020-06-02 00:00:00","!NEG581Y","Y","2020-09-07 11:48:48","2020-09-07 11:48:48","JANICEA1","JANICEA1","CFL  ","!1EG56SG","","CFL  ","","","","",""
"!1EG56SG","CSHFL","2020-06-02 00:00:00","!NEG581Z","Y","2020-09-07 11:48:48","2020-09-07 11:48:48","JANICEA1","JANICEA1","CFL  ","!1EG56SG","","CFL  ","","","","",""
"!1EIPXT4","CSHFL","2021-06-08 00:00:00","!?EIPYP9","Y","2020-10-27 15:14:05","2020-10-27 15:14:05","MGRALN01","MGRALN01","CFL  ","!1EIPXT4","","CFL  ","","","","",""
"!1EIPXT6","CSHFL","2021-06-08 00:00:00","!?EIPYPG","Y","2020-10-27 15:14:05","2020-10-27 15:14:05","MGRALN01","MGRALN01","CFL  ","!1EIPXT6","","CFL  ","","","","",""
"!4E8ZGUH","APRVD","2020-04-22 00:00:00","!KE8ZHNE","Y","2020-04-21 01:43:13","2020-04-21 01:43:13","FJSUP01 ","FJSUP01 ","","","","REMIT","","","","Partially approved.  Approver: SUPERVISOR, FJ. Job Function: Deal Administration Manager; Ranking: 10. Location: .",""
"!4E8ZGUH","APRVD","2020-04-22 00:00:00","!UE8ZHZW","Y","2020-04-21 01:52:25","2020-04-21 01:52:25","FJMGR01 ","FJMGR01 ","","","","REMIT","","","","Approval completed.  Approver: MANAGER, FJ. Job Function: Deal Administration Manager; Ranking: 10. Location: .",""
"!4E8ZGUH","NEW  ","2020-04-22 00:00:00","!4E8ZGUL","Y","2020-04-21 01:31:55","2020-04-21 01:31:55","FJUSR01 ","FJUSR01 ","","","","REMIT","","","","",""
"!4E8ZGUH","RELSD","2020-04-22 00:00:00","!UE8ZI04","Y","2020-04-21 01:54:48","2020-04-21 01:54:48","FJMGR01 ","FJMGR01 ","","","","REMIT","","","","",""
"!4E8ZGUH","STA  ","2020-04-22 00:00:00","!4E8ZGUS","Y","2020-04-21 01:32:23","2020-04-21 01:32:23","FJUSR01 ","FJUSR01 ","","","","REMIT","","","","Warnings occurred during validation: N",""
"!4E8ZGUU","APRVD","2020-04-22 00:00:00","!KE8ZHNG","Y","2020-04-21 01:44:10","2020-04-21 01:44:10","FJSUP01 ","FJSUP01 ","","","","REMIT","","","","Partially approved.  Approver: SUPERVISOR, FJ. Job Function: Deal Administration Manager; Ranking: 10. Location: .",""
"!4E8ZGUU","APRVD","2020-04-22 00:00:00","!UE8ZHZZ","Y","2020-04-21 01:53:09","2020-04-21 01:53:09","FJMGR01 ","FJMGR01 ","","","","REMIT","","","","Approval completed.  Approver: MANAGER, FJ. Job Function: Deal Administration Manager; Ranking: 10. Location: .",""
"!4E8ZGUU","NEW  ","2020-04-22 00:00:00","!4E8ZGUY","Y","2020-04-21 01:33:15","2020-04-21 01:33:15","FJUSR01 ","FJUSR01 ","","","","REMIT","","","","",""
"!4E8ZGUU","RELSD","2020-04-22 00:00:00","!UE8ZI0A","Y","2020-04-21 01:55:32","2020-04-21 01:55:32","FJMGR01 ","FJMGR01 ","","","","REMIT","","","","",""
"!4E8ZGUU","STA  ","2020-04-22 00:00:00","!4E8ZH2W","Y","2020-04-21 01:33:59","2020-04-21 01:33:59","FJUSR01 ","FJUSR01 ","","","","REMIT","","","","Warnings occurred during validation: N",""
"!4E8ZH2Y","APRVD","2020-04-22 00:00:00","!KE8ZHNI","Y","2020-04-21 01:45:07","2020-04-21 01:45:07","FJSUP01 ","FJSUP01 ","","","","REMIT","","","","Partially approved.  Approver: SUPERVISOR, FJ. Job Function: Deal Administration Manager; Ranking: 10. Location: .",""
"!4E8ZH2Y","APRVD","2020-04-22 00:00:00","!UE8ZI02","Y","2020-04-21 01:53:53","2020-04-21 01:53:53","FJMGR01 ","FJMGR01 ","","","","REMIT","","","","Approval completed.  Approver: MANAGER, FJ. Job Function: Deal Administration Manager; Ranking: 10. Location: .",""
"!4E8ZH2Y","NEW  ","2020-04-22 00:00:00","!4E8ZH32","Y","2020-04-21 01:35:00","2020-04-21 01:35:00","FJUSR01 ","FJUSR01 ","","","","REMIT","","","","",""
"!4E8ZH2Y","RELSD","2020-04-22 00:00:00","!UE8ZI0E","Y","2020-04-21 01:56:08","2020-04-21 01:56:08","FJMGR01 ","FJMGR01 ","","","","REMIT","","","","",""
"!4E8ZH2Y","STA  ","2020-04-22 00:00:00","!4E8ZHB0","Y","2020-04-21 01:35:37","2020-04-21 01:35:37","FJUSR01 ","FJUSR01 ","","","","REMIT","","","","Warnings occurred during validation: N",""
"!4EHQT3X","CFCAN","2020-07-10 00:00:00","P9EHR04H","Y","2020-10-08 21:53:34","2020-10-08 21:53:34","C116594 ","C116594 ","CFL  ","!4EHQT3X","","CFL  ","","","","",""
"!4EHQT3X","CFREL","2020-07-10 00:00:00","P9EHR047","Y","2020-10-08 21:51:39","2020-10-08 21:51:39","C116594 ","C116594 ","CFL  ","!4EHQT3X","","CFL  ","","","","",""
"!4EI5S0I","APRVD","2021-04-09 00:00:00","!KEI5STI","Y","2020-10-16 18:22:30","2020-10-16 18:22:30","KD_SUPER","KD_SUPER","","","","REMIT","","","","Partially approved.  Approver: DUENAS, KING DERILL C. Job Function: Deal Administration Manager; Ranking: 10. Location: .",""
"!4EI5S0I","APRVD","2021-04-09 00:00:00","!UEI5T5R","Y","2020-10-16 18:26:54","2020-10-16 18:26:54","KDUENAPP","KDUENAPP","","","","REMIT","","","","Approval completed.  Approver: DUENAS, KING. Job Function: Deal Administration Manager; Ranking: 10. Location: Sydney, NSW,Australia.",""
"!4EI5S0I","NEW  ","2021-04-09 00:00:00","!4EI5S0M","Y","2020-10-16 18:17:01","2020-10-16 18:17:01","KIDUENAS","KIDUENAS","","","","REMIT","","","","",""
"!4EI5S0I","RELSD","2021-04-09 00:00:00","!UEI5T5Z","Y","2020-10-16 18:28:59","2020-10-16 18:28:59","KDUENAPP","KDUENAPP","","","","REMIT","","","","",""
"!4EI5S0I","STA  ","2021-04-09 00:00:00","!4EI5S0T","Y","2020-10-16 18:17:17","2020-10-16 18:17:17","KIDUENAS","KIDUENAS","","","","REMIT","","","","Warnings occurred during validation: N",""
"!4EI5S0V","APRVD","2021-04-09 00:00:00","!KEI5STK","Y","2020-10-16 18:23:18","2020-10-16 18:23:18","KD_SUPER","KD_SUPER","","","","REMIT","","","","Partially approved.  Approver: DUENAS, KING DERILL C. Job Function: Deal Administration Manager; Ranking: 10. Location: .",""
"!4EI5S0V","APRVD","2021-04-09 00:00:00","!UEI5T5U","Y","2020-10-16 18:27:36","2020-10-16 18:27:36","KDUENAPP","KDUENAPP","","","","REMIT","","","","Approval completed.  Approver: DUENAS, KING. Job Function: Deal Administration Manager; Ranking: 10. Location: Sydney, NSW,Australia.",""
"!4EI5S0V","NEW  ","2021-04-09 00:00:00","!4EI5S0Z","Y","2020-10-16 18:17:52","2020-10-16 18:17:52","KIDUENAS","KIDUENAS","","","","REMIT","","","","",""
"!4EI5S0V","RELSD","2021-04-09 00:00:00","!UEI5T65","Y","2020-10-16 18:29:35","2020-10-16 18:29:35","KDUENAPP","KDUENAPP","","","","REMIT","","","","",""
"!4EI5S0V","STA  ","2021-04-09 00:00:00","!4EI5S8X","Y","2020-10-16 18:18:14","2020-10-16 18:18:14","KIDUENAS","KIDUENAS","","","","REMIT","","","","Warnings occurred during validation: N",""
"!4EI5S8Z","APRVD","2021-04-09 00:00:00","!KEI5STM","Y","2020-10-16 18:23:59","2020-10-16 18:23:59","KD_SUPER","KD_SUPER","","","","REMIT","","","","Partially approved.  Approver: DUENAS, KING DERILL C. Job Function: Deal Administration Manager; Ranking: 10. Location: .",""
"!4EI5S8Z","APRVD","2021-04-09 00:00:00","!UEI5T5X","Y","2020-10-16 18:28:16","2020-10-16 18:28:16","KDUENAPP","KDUENAPP","","","","REMIT","","","","Approval completed.  Approver: DUENAS, KING. Job Function: Deal Administration Manager; Ranking: 10. Location: Sydney, NSW,Australia.",""
"!4EI5S8Z","NEW  ","2021-04-09 00:00:00","!4EI5S93","Y","2020-10-16 18:18:57","2020-10-16 18:18:57","KIDUENAS","KIDUENAS","","","","REMIT","","","","",""
"!4EI5S8Z","RELSD","2021-04-09 00:00:00","!UEI5T69","Y","2020-10-16 18:30:10","2020-10-16 18:30:10","KDUENAPP","KDUENAPP","","","","REMIT","","","","",""
"!4EI5S8Z","STA  ","2021-04-09 00:00:00","!4EI5SH1","Y","2020-10-16 18:19:18","2020-10-16 18:19:18","KIDUENAS","KIDUENAS","","","","REMIT","","","","Warnings occurred during validation: N",""
"!6EJGBJ9","CFREL","2021-10-22 00:00:00","POEJGDPW","Y","2020-11-10 23:04:19","2020-11-10 23:04:19","MGRAMT02","MGRAMT02","CFL  ","!6EJGBJ9","","CFL  ","","","","",""
"!6EJGBJ9","CSHFL","2021-10-22 00:00:00","POEJGDR7","Y","2020-11-10 23:06:15","2020-11-10 23:06:15","MGRAMT02","MGRAMT02","CFL  ","!6EJGBJ9","","CFL  ","","","","",""
"!:EG585S","CFREL","2020-10-14 00:00:00","P8EG590O","Y","2020-09-07 15:07:28","2020-09-07 15:07:28","SUPDEL01","SUPDEL01","CFL  ","!:EG585S","","CFL  ","","","","",""
"!:EG585S","CSHFL","2020-10-14 00:00:00","P8EG590P","Y","2020-09-07 15:07:28","2020-09-07 15:07:28","SUPDEL01","SUPDEL01","CFL  ","!:EG585S","","CFL  ","","","","",""
"!;EGNXU9","CFREL","2020-11-24 00:00:00","!MEGNYN5","Y","2020-09-17 17:34:48","2020-09-17 17:34:48","MGRAMT01","MGRAMT01","CFL  ","!;EGNXU9","","CFL  ","","","","",""
"!;EGNXU9","CSHFL","2020-11-24 00:00:00","!MEGNYO7","Y","2020-09-17 17:36:22","2020-09-17 17:36:22","MGRAMT01","MGRAMT01","CFL  ","!;EGNXU9","","CFL  ","","","","",""
"!?EK3W2Z","CFREL","2021-11-08 00:00:00","!XEK3WWJ","Y","2020-11-23 15:58:25","2020-11-23 15:58:25","KINGMAN ","KINGMAN ","CFL  ","!?EK3W2Z","","CFL  ","","","","",""
"!?EK3W2Z","CSHFL","2021-11-08 00:00:00","!XEK3WXP","Y","2020-11-23 15:59:23","2020-11-23 15:59:23","KINGMAN ","KINGMAN ","CFL  ","!?EK3W2Z","","CFL  ","","","","",""
"!AEHAN38","APRVD","2021-01-11 00:00:00","!!EHANW5","Y","2020-09-29 23:51:19","2020-09-29 23:51:19","SUPELY01","SUPELY01","","","","REMIT","","","","Partially approved.  Approver: SUPLIQ, SUPLIQ L. Job Function: Deal Administration Manager; Ranking: 10. Location: .",""
"!AEHAN38","APRVD","2021-01-11 00:00:00","!PEHAO8N","Y","2020-09-29 23:55:45","2020-09-29 23:55:45","MGRELY01","MGRELY01","","","","REMIT","","","","Approval completed.  Approver: MGRLIQ, MGRLIQ L. Job Function: Deal Administration Manager; Ranking: 10. Location: .",""
"!AEHAN38","NEW  ","2021-01-11 00:00:00","!AEHAN3C","Y","2020-09-29 23:45:48","2020-09-29 23:45:48","INPELY01","INPELY01","","","","REMIT","","","","",""
