"UDP_UID_USERID","UDP_CDE_DEPT","UDP_TSP_REC_CREATE","UDP_TSP_REC_UPDATE","UDP_UID_REC_CREATE","UDP_UID_REC_UPDATE","UDP_IND_PRIMARY"
"JOBMANGR","GLB  ","2020-01-23 06:13:13","2020-01-23 06:13:13","ADMIN1  ","ADMIN1  ","N"
"LIQ99007","GLB  ","2020-01-23 06:41:51","2020-01-23 06:41:51","LOANIQ02","LOANIQ02","Y"
"LII99014","GLB  ","2020-01-23 06:54:22","2020-01-23 06:54:22","LOANIQ02","LOANIQ02","Y"
"LII99015","GLB  ","2020-01-23 07:04:28","2020-01-23 07:04:28","LOANIQ02","LOANIQ02","Y"
"LIQ99008","GLB  ","2020-01-23 08:00:17","2020-01-23 08:00:17","LOANIQ02","LOANIQ02","Y"
"MULT1111","GLB  ","2020-01-23 08:27:09","2020-01-23 08:27:09","LOANIQ02","LOANIQ02","Y"
"MULT0001","GLB  ","2020-01-23 08:34:03","2020-01-23 08:34:03","LOANIQ02","LOANIQ02","Y"
"MULT0002","GLB  ","2020-01-23 09:19:29","2020-01-23 09:19:29","LOANIQ02","LOANIQ02","Y"
"MULT0003","GLB  ","2020-01-23 09:25:06","2020-01-23 09:25:06","LOANIQ02","LOANIQ02","Y"
"MULT1818","GLB  ","2020-01-23 09:49:42","2020-01-23 09:49:42","LOANIQ02","LOANIQ02","Y"
"MULT1005","GLB  ","2020-01-23 10:11:03","2020-01-23 10:11:03","LOANIQ02","LOANIQ02","Y"
"LIQ3919 ","GLB  ","2020-01-23 10:37:16","2020-01-23 10:37:16","LOANIQ02","LOANIQ02","Y"
"LIQ3920 ","GLB  ","2020-01-23 10:57:36","2020-01-23 10:57:36","LOANIQ02","LOANIQ02","Y"
"FJUSR01 ","GLB  ","2020-01-24 09:43:04","2020-01-24 09:43:04","ADMIN1  ","ADMIN1  ","N"
"LIQ41018","GLB  ","2020-01-27 07:02:20","2020-01-27 07:02:20","LOANIQ02","LOANIQ02","Y"
"LIQ41019","GLB  ","2020-01-27 07:22:03","2020-01-27 07:22:03","LOANIQ02","LOANIQ02","Y"
"MGALING ","GLB  ","2020-01-27 07:58:01","2020-01-27 07:58:01","ADMIN1  ","ADMIN1  ","N"
"ADM_DARR","GLB  ","2019-06-26 02:03:48","2019-06-26 02:03:48","ADMIN1  ","ADMIN1  ","N"
"ADM_PETE","GLB  ","2019-06-26 02:05:17","2019-06-26 02:05:17","ADMIN1  ","ADMIN1  ","N"
"TECH_ADM","GLB  ","2019-06-26 09:51:43","2019-06-26 09:51:43","ADM_PETE","ADM_PETE","N"
"TECH_ADM","DEPAR","2019-06-26 09:51:43","2019-06-26 09:51:43","ADM_PETE","ADM_PETE","N"
"ADM_BAT ","GLB  ","2019-06-26 09:52:48","2019-06-26 09:52:48","ADM_PETE","ADM_PETE","N"
"ESS_USR1","GLB  ","2019-06-26 09:55:00","2019-06-26 09:55:00","ADM_PETE","ADM_PETE","N"
"ESS_USR2","GLB  ","2019-06-26 09:55:36","2019-06-26 09:55:36","ADM_PETE","ADM_PETE","N"
"EVT_USR1","GLB  ","2019-06-26 09:56:10","2019-06-26 09:56:10","ADM_PETE","ADM_PETE","N"
"DB_USR1 ","GLB  ","2019-06-26 09:56:45","2019-06-26 09:56:45","ADM_PETE","ADM_PETE","N"
"ADMIN2  ","GLB  ","2019-06-26 10:00:27","2019-06-26 10:00:27","ADM_PETE","ADM_PETE","N"
"LIQ_API2","GLB  ","2019-06-27 03:10:31","2019-06-27 03:10:31","ADM_PETE","ADM_PETE","N"
"MULT1014","GLB  ","2020-01-28 03:12:52","2020-01-28 03:12:52","LOANIQ02","LOANIQ02","Y"
"JFERNAND","GLB  ","2019-08-02 06:57:24","2019-08-02 06:57:24","ADMIN1  ","ADMIN1  ","N"
"LIQ_API ","DEPAR","2014-03-14 10:44:50","2014-03-14 10:44:50","LOANIQ01","LOANIQ01","N"
"TTEQ01Z1","DEPAR","2014-03-14 10:48:40","2014-03-14 10:48:40","LOANIQ01","LOANIQ01","N"
"LOANIQ01","DEPAR","2014-04-07 19:52:03","2014-04-07 19:52:03","ADMIN1  ","ADMIN1  ","N"
"LOANIQ02","DEPAR","2014-04-07 19:52:38","2014-04-07 19:52:38","ADMIN1  ","ADMIN1  ","N"
"ADMIN2  ","DEPAR","2005-08-23 14:04:19","2005-08-23 14:04:19","ADMIN1  ","ADMIN1  ","N"
"LOANIQ  ","DEPAR","2005-08-23 09:15:36","2005-08-23 09:15:36","ADMIN2  ","ADMIN2  ","N"
"LOANIQ03","DEPAR","2005-08-23 16:01:46","2005-08-23 16:01:46","ADMIN2  ","ADMIN2  ","N"
"TTEQ01Z2","DEPAR","2006-10-19 16:40:28","2006-10-19 16:40:28","ADMIN2  ","ADMIN2  ","N"
"TTEQ01Z3","DEPAR","2006-10-19 16:41:01","2006-10-19 16:41:01","ADMIN2  ","ADMIN2  ","N"
"ADMIN1  ","GLB  ","2019-04-03 23:55:52","2019-04-03 23:55:52","LS2BATCH","LS2BATCH","N"
"LOANIQ02","GLB  ","2019-04-03 23:55:52","2019-04-03 23:55:52","LS2BATCH","LS2BATCH","N"
"FOULISTR","GLB  ","2019-04-03 23:55:52","2019-04-03 23:55:52","LS2BATCH","LS2BATCH","N"
"LOANIQ01","GLB  ","2019-04-03 23:55:52","2019-04-03 23:55:52","LS2BATCH","LS2BATCH","N"
"GIBLINC ","GLB  ","2019-04-03 23:55:52","2019-04-03 23:55:52","LS2BATCH","LS2BATCH","N"
"BRIANMOK","GLB  ","2019-04-03 23:55:52","2019-04-03 23:55:52","LS2BATCH","LS2BATCH","N"
"BATCH AD","GLB  ","2019-04-03 23:55:52","2019-04-03 23:55:52","LS2BATCH","LS2BATCH","N"
"KANDERSO","GLB  ","2019-04-03 23:55:52","2019-04-03 23:55:52","LS2BATCH","LS2BATCH","N"
"LIQ_API ","GLB  ","2019-04-03 23:55:52","2019-04-03 23:55:52","LS2BATCH","LS2BATCH","N"
"DONALD98","GLB  ","2019-04-03 23:55:53","2019-04-03 23:55:53","LS2BATCH","LS2BATCH","N"
"LAWLESS2","GLB  ","2019-04-03 23:55:53","2019-04-03 23:55:53","LS2BATCH","LS2BATCH","N"
"PETURNER","GLB  ","2019-04-03 23:55:53","2019-04-03 23:55:53","LS2BATCH","LS2BATCH","N"
"DJRHINPT","GLB  ","2020-01-23 06:00:21","2020-01-23 06:00:21","ADMIN1  ","ADMIN1  ","N"
"JOBSUPER","GLB  ","2020-01-23 06:14:04","2020-01-23 06:14:04","ADMIN1  ","ADMIN1  ","N"
"RETAIL  ","GLB  ","2020-01-23 06:48:06","2020-01-23 06:48:06","ADMIN1  ","ADMIN1  ","N"
"HSUSER01","GLB  ","2020-01-23 07:48:44","2020-01-23 07:48:44","ADMIN1  ","ADMIN1  ","N"
"HSMGR01 ","GLB  ","2020-01-23 07:49:41","2020-01-23 07:49:41","ADMIN1  ","ADMIN1  ","N"
"CFRANCI5","GLB  ","2020-01-23 09:17:16","2020-01-23 09:17:16","ADMIN1  ","ADMIN1  ","N"
"LQXY0003","GLB  ","2020-01-27 10:07:44","2020-01-27 10:07:44","LOANIQ02","LOANIQ02","Y"
"LII99016","GLB  ","2020-01-27 10:08:23","2020-01-27 10:08:23","LOANIQ02","LOANIQ02","Y"
"LQXY0004","GLB  ","2020-01-27 10:28:39","2020-01-27 10:28:39","LOANIQ02","LOANIQ02","Y"
"MULT1012","GLB  ","2020-01-28 02:35:55","2020-01-28 02:35:55","LOANIQ02","LOANIQ02","Y"
"MULT1013","GLB  ","2020-01-28 02:59:20","2020-01-28 02:59:20","LOANIQ02","LOANIQ02","Y"
"MULT1015","GLB  ","2020-01-28 03:26:10","2020-01-28 03:26:10","LOANIQ02","LOANIQ02","Y"
"JERSONES","GLB  ","2020-01-30 11:09:32","2020-01-30 11:09:32","ADMIN1  ","ADMIN1  ","N"
"LUPD0002","GLB  ","2020-01-28 04:37:17","2020-01-28 04:37:17","LOANIQ02","LOANIQ02","Y"
"LLL20002","GLB  ","2020-02-04 06:51:57","2020-02-04 06:51:57","LOANIQ02","LOANIQ02","Y"
"TESTUSER","GLB  ","2020-02-03 02:35:51","2020-02-03 02:35:51","ADMIN1  ","ADMIN1  ","N"
"LUPD0012","GLB  ","2020-02-03 09:53:34","2020-02-03 09:53:34","LOANIQ02","LOANIQ02","Y"
"LLL20001","GLB  ","2020-02-04 06:33:43","2020-02-04 06:33:43","LOANIQ02","LOANIQ02","Y"
"LLL20003","GLB  ","2020-02-04 07:34:31","2020-02-04 07:34:31","LOANIQ02","LOANIQ02","Y"
"SRHMAE  ","GLB  ","2020-02-04 09:53:00","2020-02-04 09:53:00","CMARTILL","CMARTILL","N"
"SPAYOYO ","GLB  ","2020-02-04 10:13:59","2020-02-04 10:13:59","CMARTILL","CMARTILL","N"
"U721520 ","GLB  ","2020-02-04 10:15:04","2020-02-04 10:15:04","CMARTILL","CMARTILL","N"
"JFERNAN2","GLB  ","2020-02-05 02:19:13","2020-02-05 02:19:13","ADMIN1  ","ADMIN1  ","N"
"MAETEST ","GLB  ","2020-02-05 03:37:26","2020-02-05 03:37:26","ADMIN1  ","ADMIN1  ","N"
"JCAPR02 ","GLB  ","2020-02-20 07:19:21","2020-02-20 07:19:21","ADMIN1  ","ADMIN1  ","N"
"DANUSR01","GLB  ","2020-02-13 10:20:02","2020-02-13 10:20:02","ADMIN1  ","ADMIN1  ","N"
"JCAPR01 ","GLB  ","2020-02-17 09:40:58","2020-02-17 09:40:58","ADMIN1  ","ADMIN1  ","N"
"RUNINP  ","GLB  ","2020-02-27 04:23:23","2020-02-27 04:23:23","ADMIN1  ","ADMIN1  ","N"
"RAFAELS ","GLB  ","2020-03-03 03:06:20","2020-03-03 03:06:20","LOANIQ02","LOANIQ02","N"
"GGG10002","GLB  ","2020-03-04 05:28:33","2020-03-04 05:28:33","LOANIQ02","LOANIQ02","Y"
"RUNINP01","GLB  ","2020-03-03 05:02:53","2020-03-03 05:02:53","ADMIN1  ","ADMIN1  ","N"
"USER_API","GLB  ","2020-03-03 05:36:12","2020-03-03 05:36:12","ADMIN1  ","ADMIN1  ","N"
"RUNBAT  ","GLB  ","2020-03-03 05:36:52","2020-03-03 05:36:52","ADMIN1  ","ADMIN1  ","N"
"LIQ99009","GLB  ","2020-03-06 03:53:28","2020-03-06 03:53:28","LOANIQ02","LOANIQ02","Y"
"LIQ99023","GLB  ","2020-03-06 10:26:04","2020-03-06 10:26:04","LOANIQ02","LOANIQ02","Y"
"LIQ99024","GLB  ","2020-03-06 09:51:21","2020-03-06 09:51:21","LOANIQ02","LOANIQ02","Y"
"MULTD002","GLB  ","2020-04-14 03:50:36","2020-04-14 03:50:36","LOANIQ01","LOANIQ01","Y"
"MSG0414 ","GLB  ","2020-03-06 10:26:47","2020-03-06 10:26:47","LOANIQ02","LOANIQ02","Y"
"MSG0492 ","GLB  ","2020-03-06 10:45:49","2020-03-06 10:45:49","LOANIQ02","LOANIQ02","Y"
"MSG1234 ","GLB  ","2020-03-07 05:06:10","2020-03-07 05:06:10","LOANIQ02","LOANIQ02","Y"
"APP1MANS","GLB  ","2020-04-13 06:10:15","2020-04-13 06:10:15","ADMIN1  ","ADMIN1  ","N"
"MULTD001","GLB  ","2020-04-14 03:24:12","2020-04-14 03:24:12","LOANIQ01","LOANIQ01","Y"
"MULTD003","GLB  ","2020-04-14 03:55:02","2020-04-14 03:55:02","LOANIQ01","LOANIQ01","Y"
"LIQS0001","GLB  ","2020-04-14 04:23:46","2020-04-14 04:23:46","LOANIQ01","LOANIQ01","Y"
"LIQD0002","GLB  ","2020-04-14 04:47:43","2020-04-14 04:47:43","LOANIQ01","LOANIQ01","Y"
"WENGINP1","GLB  ","2020-04-14 06:06:14","2020-04-14 06:06:14","ADMIN1  ","ADMIN1  ","N"
"WENGSUP1","GLB  ","2020-04-14 06:07:42","2020-04-14 06:07:42","ADMIN1  ","ADMIN1  ","N"
"MULTD101","GLB  ","2020-04-15 02:47:09","2020-04-15 02:47:09","LOANIQ01","LOANIQ01","Y"
"MULTD103","GLB  ","2020-04-15 02:55:58","2020-04-15 02:55:58","LOANIQ01","LOANIQ01","Y"
"MULTD006","GLB  ","2020-04-15 02:59:59","2020-04-15 02:59:59","LOANIQ01","LOANIQ01","Y"
"MULTD007","GLB  ","2020-04-15 03:11:19","2020-04-15 03:11:19","LOANIQ01","LOANIQ01","Y"
"LIQ95536","GLB  ","2020-04-15 04:44:58","2020-04-15 04:44:58","LOANIQ01","LOANIQ01","Y"
"DFUL0001","GLB  ","2020-04-15 04:19:20","2020-04-15 04:19:20","LOANIQ01","LOANIQ01","Y"
"MULTD008","GLB  ","2020-04-16 06:18:01","2020-04-16 06:18:01","LOANIQ01","LOANIQ01","Y"
"USR7702 ","GLB  ","2020-04-15 18:25:38","2020-04-15 18:25:38","LOANIQ01","LOANIQ01","Y"
"LUUU9008","GLB  ","2020-04-16 05:04:30","2020-04-16 05:04:30","LOANIQ01","LOANIQ01","Y"
"MULTD009","GLB  ","2020-04-16 06:47:38","2020-04-16 06:47:38","LOANIQ01","LOANIQ01","Y"
"CREL2409","GLB  ","2020-04-20 09:16:26","2020-04-20 09:16:26","LOANIQ01","LOANIQ01","Y"
"CREL2410","GLB  ","2020-04-20 10:08:19","2020-04-20 10:08:19","LOANIQ01","LOANIQ01","Y"
"FJSUP01 ","GLB  ","2020-04-20 10:41:42","2020-04-20 10:41:42","ADMIN1  ","ADMIN1  ","N"
"FJMGR01 ","GLB  ","2020-04-20 10:43:48","2020-04-20 10:43:48","ADMIN1  ","ADMIN1  ","N"
"DFMU001 ","GLB  ","2020-04-20 12:55:36","2020-04-20 12:55:36","LOANIQ01","LOANIQ01","Y"
"CREL2501","GLB  ","2020-04-20 10:45:01","2020-04-20 10:45:01","LOANIQ01","LOANIQ01","Y"
"DFUL0005","GLB  ","2020-04-20 13:50:06","2020-04-20 13:50:06","LOANIQ01","LOANIQ01","Y"
"DFUL0006","GLB  ","2020-04-20 14:31:13","2020-04-20 14:31:13","LOANIQ01","LOANIQ01","Y"
"DFUL0008","GLB  ","2020-04-20 17:47:34","2020-04-20 17:47:34","LOANIQ01","LOANIQ01","Y"
"LOANIQ77","GLB  ","2020-04-21 05:58:07","2020-04-21 05:58:07","LOANIQ01","LOANIQ01","Y"
"LOANQ077","GLB  ","2020-04-21 06:08:17","2020-04-21 06:08:17","LOANIQ01","LOANIQ01","Y"
"LQG21101","GLB  ","2020-04-22 09:41:36","2020-04-22 09:41:36","LOANIQ01","LOANIQ01","Y"
"LQG18101","GLB  ","2020-04-23 02:30:15","2020-04-23 02:30:15","LOANIQ01","LOANIQ01","Y"
"LQG23101","GLB  ","2020-04-23 03:05:38","2020-04-23 03:05:38","LOANIQ01","LOANIQ01","Y"
"QQQ1002 ","GLB  ","2020-04-23 04:59:57","2020-04-23 04:59:57","LOANIQ01","LOANIQ01","Y"
"DFUL0009","GLB  ","2020-04-23 17:28:47","2020-04-23 17:28:47","LOANIQ01","LOANIQ01","Y"
"LQG19101","GLB  ","2020-04-23 07:42:22","2020-04-23 07:42:22","LOANIQ01","LOANIQ01","Y"
"LIQ99011","GLB  ","2020-04-23 08:33:52","2020-04-23 08:33:52","LOANIQ01","LOANIQ01","Y"
"LQG22101","GLB  ","2020-04-23 11:12:17","2020-04-23 11:12:17","LOANIQ01","LOANIQ01","Y"
"LIQ99012","GLB  ","2020-04-24 02:57:48","2020-04-24 02:57:48","LOANIQ01","LOANIQ01","Y"
"LQG17101","GLB  ","2020-04-24 03:51:49","2020-04-24 03:51:49","LOANIQ01","LOANIQ01","Y"
"LQG17102","GLB  ","2020-04-24 04:00:14","2020-04-24 04:00:14","LOANIQ01","LOANIQ01","Y"
"LQXY0002","GLB  ","2020-04-27 13:27:45","2020-04-27 13:27:45","XMIRANDA","XMIRANDA","N"
"LQIEE118","GLB  ","2020-04-30 15:15:03","2020-04-30 15:15:03","LOANIQ01","LOANIQ01","Y"
"LQIEE119","GLB  ","2020-04-30 15:15:13","2020-04-30 15:15:13","LOANIQ01","LOANIQ01","Y"
"LQIEE120","GLB  ","2020-04-30 15:15:21","2020-04-30 15:15:21","LOANIQ01","LOANIQ01","Y"
"LQIEE121","GLB  ","2020-04-30 15:15:29","2020-04-30 15:15:29","LOANIQ01","LOANIQ01","Y"
"LQIEE122","GLB  ","2020-04-30 15:15:41","2020-04-30 15:15:41","LOANIQ01","LOANIQ01","Y"
"LQIEE123","GLB  ","2020-04-30 15:15:54","2020-04-30 15:15:54","LOANIQ01","LOANIQ01","Y"
"LQIEE124","GLB  ","2020-04-30 15:16:05","2020-04-30 15:16:05","LOANIQ01","LOANIQ01","Y"
"LQIEE125","GLB  ","2020-04-30 15:16:14","2020-04-30 15:16:14","LOANIQ01","LOANIQ01","Y"
"LQIEE126","GLB  ","2020-04-30 15:16:24","2020-04-30 15:16:24","LOANIQ01","LOANIQ01","Y"
"LQEU0001","GLB  ","2020-05-05 14:51:28","2020-05-05 14:51:28","LOANIQ01","LOANIQ01","Y"
"LQEU0002","GLB  ","2020-05-05 14:51:37","2020-05-05 14:51:37","LOANIQ01","LOANIQ01","Y"
"LQEU0003","GLB  ","2020-05-05 14:58:33","2020-05-05 14:58:33","LOANIQ01","LOANIQ01","Y"
"LQEU0004","GLB  ","2020-05-05 14:58:41","2020-05-05 14:58:41","LOANIQ01","LOANIQ01","Y"
"LQEU0005","GLB  ","2020-05-05 14:58:49","2020-05-05 14:58:49","LOANIQ01","LOANIQ01","Y"
"LQEU0006","GLB  ","2020-05-05 14:59:11","2020-05-05 14:59:11","LOANIQ01","LOANIQ01","Y"
"LQEU0007","GLB  ","2020-05-05 14:59:18","2020-05-05 14:59:18","LOANIQ01","LOANIQ01","Y"
"LQEU0008","GLB  ","2020-05-05 14:59:31","2020-05-05 14:59:31","LOANIQ01","LOANIQ01","Y"
"LQEU0009","GLB  ","2020-05-05 14:59:42","2020-05-05 14:59:42","LOANIQ01","LOANIQ01","Y"
"LQEU0010","GLB  ","2020-05-05 14:59:52","2020-05-05 14:59:52","LOANIQ01","LOANIQ01","Y"
