"VAH_RID_VAL_HIST","VAH_RID_OWNER","VAH_CDE_OWNER_TYPE","VAH_CDE_VALUE_TYPE","VAH_DTE_START","VAH_DTE_END","VAH_DEC_VALUE","VAH_IND_VALUE","VAH_UID_REC_CREATE","VAH_UID_REC_UPDATE","VAH_TSP_REC_CREATE","VAH_TSP_REC_UPDATE","VAH_TXT_VALUE","VAH_CDE_BRANCH"
"!$EHR2K4","!1EHR1NZ","IBC  ","OSTFX","2021-01-28 00:00:00","","1","","MGRRON01","MGRRON01","2020-10-08 19:19:44","2020-10-08 19:19:44","",""
"!(EG52SN","!(EG52QS","ORT  ","OTPSS","2020-06-02 00:00:00","","","","JAQUITAN","JAQUITAN","2020-09-07 11:27:23","2020-09-07 11:27:23","OFF","CG852"
"!(EG52SO","!(EG52QS","ORT  ","OSTPS","2020-06-02 00:00:00","","0","","JAQUITAN","JAQUITAN","2020-09-07 11:27:23","2020-09-07 11:27:23","","CG852"
"!(EG52TT","!(EG52QS","ORT  ","RWBRT","2020-06-02 00:00:00","","0.02","","JAQUITAN","JAQUITAN","2020-09-07 11:27:38","2020-09-07 11:27:38","","CG852"
"!(EG52U4","!(EG52QS","ORT  ","OSTRT","2020-06-02 00:00:00","","0.02","","JAQUITAN","JAQUITAN","2020-09-07 11:27:38","2020-09-07 11:27:38","","CG852"
"!+EHR5ED","!LEHR4I8","IBC  ","OSTFX","2021-01-28 00:00:00","","1","","MGRRON01","MGRRON01","2020-10-08 20:11:41","2020-10-08 20:11:41","",""
"!+EK40DZ","!+EK40DY","NCS  ","FRS  ","2021-11-08 00:00:00","","0","","MGRRON01","MGRRON01","2020-11-23 16:46:21","2020-11-23 16:46:21","",""
"!-EGO1UG","!-EGO1UF","NCS  ","FRS  ","2020-06-26 00:00:00","","0","","MANZANOM","MANZANOM","2020-09-17 18:04:00","2020-09-17 18:04:00","",""
"!-EGO1UI","ACEGO0BI","OST  ","OSTFX","2020-06-26 00:00:00","","1","","MANZANOM","MANZANOM","2020-09-17 18:04:00","2020-09-17 18:04:00","","CG852"
"!-EGO1UJ","ACEGO0BW","ORT  ","PCTRF","2020-06-26 00:00:00","","1","","MANZANOM","MANZANOM","2020-09-17 18:04:00","2020-09-17 18:04:00","LAST","CG852"
"!-EGO1UK","ACEGO0BI","OST  ","RPRGF","2020-06-26 00:00:00","","","","MANZANOM","MANZANOM","2020-09-17 18:04:00","2020-09-17 18:04:00","1D","CG852"
"!-EGO1UL","ACEGO0BI","OST  ","RDGIF","2020-06-26 00:00:00","","","","MANZANOM","MANZANOM","2020-09-17 18:04:00","2020-09-17 18:04:00","1/8","CG852"
"!-EGO1UM","ACEGO0BI","OST  ","RDGFM","2020-06-26 00:00:00","","","","MANZANOM","MANZANOM","2020-09-17 18:04:00","2020-09-17 18:04:00","NONE","CG852"
"!-EGO1UN","ACEGO0BI","OST  ","RDGDP","2020-06-26 00:00:00","","","","MANZANOM","MANZANOM","2020-09-17 18:04:00","2020-09-17 18:04:00","3","CG852"
"!-EGO1UO","ACEGO0BI","OST  ","RDGDM","2020-06-26 00:00:00","","","","MANZANOM","MANZANOM","2020-09-17 18:04:00","2020-09-17 18:04:00","NONE","CG852"
"!-EGO1UP","ACEGO0BI","OST  ","RDGAM","2020-06-26 00:00:00","","","","MANZANOM","MANZANOM","2020-09-17 18:04:00","2020-09-17 18:04:00","BASEF","CG852"
"!-EGO1UQ","ACEGO0BW","ORT  ","ALLIN","2020-06-26 00:00:00","","0.07","","MANZANOM","MANZANOM","2020-09-17 18:04:00","2020-09-17 18:04:00","","CG852"
"!-EGO1V4","ACEGO0BI","OST  ","OSTPO","2020-06-26 00:00:00","","","","MANZANOM","MANZANOM","2020-09-17 18:04:00","2020-09-17 18:04:00","EURLI","CG852"
"!-EGO1V8","ACEGO0BW","ORT  ","OSTSD","2020-06-26 00:00:00","","0.04","","MANZANOM","MANZANOM","2020-09-17 18:04:00","2020-09-17 18:04:00","","CG852"
"!-EGO1VA","ACEGO0BW","ORT  ","OSTNM","2020-06-26 00:00:00","","","","MANZANOM","MANZANOM","2020-09-17 18:04:00","2020-09-17 18:04:00","NMFCF","CG852"
"!-EGO1VC","ACEGO0BW","ORT  ","OSTNA","2020-06-26 00:00:00","","","","MANZANOM","MANZANOM","2020-09-17 18:04:00","2020-09-17 18:04:00","","CG852"
"!-EGO1VE","ACEGO0BW","ORT  ","OSTRB","2020-06-26 00:00:00","","","","MANZANOM","MANZANOM","2020-09-17 18:04:00","2020-09-17 18:04:00","G365","CG852"
"!-EGO20Y","!-EGO20X","NCS  ","FRS  ","2020-06-26 00:00:00","","0","","MANZANOM","MANZANOM","2020-09-17 18:11:13","2020-09-17 18:11:13","",""
"!-EGO210","ACEGO0MK","OST  ","OSTFX","2020-06-26 00:00:00","","1","","MANZANOM","MANZANOM","2020-09-17 18:11:13","2020-09-17 18:11:13","","CG852"
"!-EGO211","ACEGO0MY","ORT  ","PCTRF","2020-06-26 00:00:00","","1","","MANZANOM","MANZANOM","2020-09-17 18:11:13","2020-09-17 18:11:13","LAST","CG852"
"!-EGO212","ACEGO0MK","OST  ","RPRGF","2020-06-26 00:00:00","","","","MANZANOM","MANZANOM","2020-09-17 18:11:13","2020-09-17 18:11:13","1D","CG852"
"!-EGO213","ACEGO0MK","OST  ","RDGIF","2020-06-26 00:00:00","","","","MANZANOM","MANZANOM","2020-09-17 18:11:13","2020-09-17 18:11:13","1/8","CG852"
"!-EGO214","ACEGO0MK","OST  ","RDGFM","2020-06-26 00:00:00","","","","MANZANOM","MANZANOM","2020-09-17 18:11:13","2020-09-17 18:11:13","NONE","CG852"
"!-EGO215","ACEGO0MK","OST  ","RDGDP","2020-06-26 00:00:00","","","","MANZANOM","MANZANOM","2020-09-17 18:11:13","2020-09-17 18:11:13","3","CG852"
"!-EGO216","ACEGO0MK","OST  ","RDGDM","2020-06-26 00:00:00","","","","MANZANOM","MANZANOM","2020-09-17 18:11:13","2020-09-17 18:11:13","NONE","CG852"
"!-EGO217","ACEGO0MK","OST  ","RDGAM","2020-06-26 00:00:00","","","","MANZANOM","MANZANOM","2020-09-17 18:11:13","2020-09-17 18:11:13","BASEF","CG852"
"!-EGO218","ACEGO0MY","ORT  ","ALLIN","2020-06-26 00:00:00","","0.06","","MANZANOM","MANZANOM","2020-09-17 18:11:13","2020-09-17 18:11:13","","CG852"
"!-EGO21M","ACEGO0MK","OST  ","OSTPO","2020-06-26 00:00:00","","","","MANZANOM","MANZANOM","2020-09-17 18:11:13","2020-09-17 18:11:13","EURLI","CG852"
"!-EGO21Q","ACEGO0MY","ORT  ","OSTSD","2020-06-26 00:00:00","","0.04","","MANZANOM","MANZANOM","2020-09-17 18:11:13","2020-09-17 18:11:13","","CG852"
"!-EGO21S","ACEGO0MY","ORT  ","OSTNM","2020-06-26 00:00:00","","","","MANZANOM","MANZANOM","2020-09-17 18:11:13","2020-09-17 18:11:13","NMFCF","CG852"
"!-EGO21U","ACEGO0MY","ORT  ","OSTNA","2020-06-26 00:00:00","","","","MANZANOM","MANZANOM","2020-09-17 18:11:13","2020-09-17 18:11:13","","CG852"
"!-EGO21W","ACEGO0MY","ORT  ","OSTRB","2020-06-26 00:00:00","","","","MANZANOM","MANZANOM","2020-09-17 18:11:13","2020-09-17 18:11:13","G365","CG852"
"!.EDTSOH","!.EDTSNS","FRCVR","FREC ","2020-06-01 00:00:00","","","","DJRHINPT","DJRHINPT","2020-07-24 13:47:57","2020-07-24 13:47:57","BG_COL",""
"!.EHBZAH","!.EHBZ9R","FRCVR","FREC ","2021-01-11 00:00:00","","","","CCUISIA ","CCUISIA ","2020-09-30 17:08:49","2020-09-30 17:08:49","BG_COL",""
"!.EHQWIW","!.EHQWIV","NCS  ","FRS  ","2021-01-28 00:00:00","","0","","MIGGY_MA","MIGGY_MA","2020-10-08 18:11:30","2020-10-08 18:11:30","",""
"!1EG56QW","!1EG56P4","ORT  ","OTPSS","2020-05-29 00:00:00","","","","JAQUITAN","JAQUITAN","2020-09-07 11:46:04","2020-09-07 11:46:04","OFF","CG852"
"!1EG56QX","!1EG56P4","ORT  ","OSTPS","2020-05-29 00:00:00","","0","","JAQUITAN","JAQUITAN","2020-09-07 11:46:04","2020-09-07 11:46:04","","CG852"
"!1EG56RO","!1EG56P4","ORT  ","RWBRT","2020-05-29 00:00:00","","0.02","","JAQUITAN","JAQUITAN","2020-09-07 11:46:10","2020-09-07 11:46:10","","CG852"
"!1EG56RZ","!1EG56P4","ORT  ","OSTRT","2020-05-29 00:00:00","","0.02","","JAQUITAN","JAQUITAN","2020-09-07 11:46:10","2020-09-07 11:46:10","","CG852"
"!3EG529L","!TEG50VR","OST  ","OSTPO","2020-05-29 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:24:19","2020-09-07 11:24:19","EURLI","CG852"
"!3EG529P","!3EG529O","NCS  ","FRS  ","2020-05-29 00:00:00","","0","","JANICEA1","JANICEA1","2020-09-07 11:24:19","2020-09-07 11:24:19","",""
"!3EG529R","!TEG50VR","OST  ","OSTFX","2020-05-29 00:00:00","","1","","JANICEA1","JANICEA1","2020-09-07 11:24:19","2020-09-07 11:24:19","","CG852"
"!3EG529S","!TEG50VX","ORT  ","PCTRF","2020-05-29 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:24:19","2020-09-07 11:24:19","","CG852"
"!3EG529T","!TEG50VR","OST  ","RPRGF","2020-05-29 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:24:19","2020-09-07 11:24:19","1D","CG852"
"!3EG529U","!TEG50VR","OST  ","RDGIF","2020-05-29 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:24:19","2020-09-07 11:24:19","1/8","CG852"
"!3EG529V","!TEG50VR","OST  ","RDGFM","2020-05-29 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:24:19","2020-09-07 11:24:19","NONE","CG852"
"!3EG529W","!TEG50VR","OST  ","RDGDP","2020-05-29 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:24:19","2020-09-07 11:24:19","3","CG852"
"!3EG529X","!TEG50VR","OST  ","RDGDM","2020-05-29 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:24:19","2020-09-07 11:24:19","NONE","CG852"
"!3EG529Y","!TEG50VR","OST  ","RDGAM","2020-05-29 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:24:19","2020-09-07 11:24:19","BASEF","CG852"
"!3EG52AK","!TEG50VX","ORT  ","OSTSD","2020-05-29 00:00:00","","0.04","","JANICEA1","JANICEA1","2020-09-07 11:24:19","2020-09-07 11:24:19","","CG852"
"!3EG52AM","!TEG50VX","ORT  ","OSTNM","2020-05-29 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:24:19","2020-09-07 11:24:19","NMFCF","CG852"
"!3EG52AO","!TEG50VX","ORT  ","OSTNA","2020-05-29 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:24:19","2020-09-07 11:24:19","","CG852"
"!3EG52AQ","!TEG50VX","ORT  ","OSTRB","2020-05-29 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:24:19","2020-09-07 11:24:19","G365","CG852"
"!7EGO3AA","!7EGO39E","FRCVR","FREC ","2020-11-24 00:00:00","","","","CCUISIA ","CCUISIA ","2020-09-17 19:31:10","2020-09-17 19:31:10","BG_COL",""
"!;EG5423","!;EG5422","NCS  ","FRS  ","2020-06-02 00:00:00","","0","","JANICEA1","JANICEA1","2020-09-07 11:30:22","2020-09-07 11:30:22","",""
"!;EG5425","!(EG52QL","OST  ","OSTFX","2020-06-02 00:00:00","","1","","JANICEA1","JANICEA1","2020-09-07 11:30:22","2020-09-07 11:30:22","","CG852"
"!;EG5426","!(EG52QS","ORT  ","PCTRF","2020-06-02 00:00:00","","1","","JANICEA1","JANICEA1","2020-09-07 11:30:22","2020-09-07 11:30:22","LAST","CG852"
"!;EG5427","!(EG52QL","OST  ","RPRGF","2020-06-02 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:30:22","2020-09-07 11:30:22","1D","CG852"
"!;EG5428","!(EG52QL","OST  ","RDGIF","2020-06-02 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:30:22","2020-09-07 11:30:22","1/8","CG852"
"!;EG5429","!(EG52QL","OST  ","RDGFM","2020-06-02 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:30:22","2020-09-07 11:30:22","NONE","CG852"
"!;EG542A","!(EG52QL","OST  ","RDGDP","2020-06-02 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:30:22","2020-09-07 11:30:22","3","CG852"
"!;EG542B","!(EG52QL","OST  ","RDGDM","2020-06-02 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:30:22","2020-09-07 11:30:22","NONE","CG852"
"!;EG542C","!(EG52QL","OST  ","RDGAM","2020-06-02 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:30:22","2020-09-07 11:30:22","BASEF","CG852"
"!;EG542D","!(EG52QS","ORT  ","ALLIN","2020-06-02 00:00:00","","0.06","","JANICEA1","JANICEA1","2020-09-07 11:30:22","2020-09-07 11:30:22","","CG852"
"!;EG542R","!(EG52QL","OST  ","OSTPO","2020-06-02 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:30:22","2020-09-07 11:30:22","EURLI","CG852"
"!;EG542V","!(EG52QS","ORT  ","OSTSD","2020-06-02 00:00:00","","0.04","","JANICEA1","JANICEA1","2020-09-07 11:30:22","2020-09-07 11:30:22","","CG852"
"!;EG542X","!(EG52QS","ORT  ","OSTNM","2020-06-02 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:30:22","2020-09-07 11:30:22","NMFCF","CG852"
"!;EG542Z","!(EG52QS","ORT  ","OSTNA","2020-06-02 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:30:22","2020-09-07 11:30:22","","CG852"
"!;EG5431","!(EG52QS","ORT  ","OSTRB","2020-06-02 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:30:22","2020-09-07 11:30:22","G365","CG852"
"!=EDU7FH","!=EDU7F9","FRCVR","FREC ","2020-06-01 00:00:00","","","","DJRHINPT","DJRHINPT","2020-07-24 18:13:56","2020-07-24 18:13:56","BG_COL",""
"!HEG565X","!HEG565W","NCS  ","FRS  ","2020-06-02 00:00:00","","0","","JANICEA1","JANICEA1","2020-09-07 11:37:33","2020-09-07 11:37:33","",""
"!HEG565Z","!REG54I6","OST  ","OSTFX","2020-06-02 00:00:00","","1","","JANICEA1","JANICEA1","2020-09-07 11:37:33","2020-09-07 11:37:33","","CG852"
"!HEG5660","!REG54ID","ORT  ","PCTRF","2020-06-02 00:00:00","","1","","JANICEA1","JANICEA1","2020-09-07 11:37:33","2020-09-07 11:37:33","LAST","CG852"
"!HEG5661","!REG54I6","OST  ","RPRGF","2020-06-02 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:37:33","2020-09-07 11:37:33","1D","CG852"
"!HEG5662","!REG54I6","OST  ","RDGIF","2020-06-02 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:37:33","2020-09-07 11:37:33","1/8","CG852"
"!HEG5663","!REG54I6","OST  ","RDGFM","2020-06-02 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:37:33","2020-09-07 11:37:33","NONE","CG852"
"!HEG5664","!REG54I6","OST  ","RDGDP","2020-06-02 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:37:33","2020-09-07 11:37:33","3","CG852"
"!HEG5665","!REG54I6","OST  ","RDGDM","2020-06-02 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:37:33","2020-09-07 11:37:33","NONE","CG852"
"!HEG5666","!REG54I6","OST  ","RDGAM","2020-06-02 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:37:33","2020-09-07 11:37:33","BASEF","CG852"
"!HEG5667","!REG54ID","ORT  ","ALLIN","2020-06-02 00:00:00","","0.04","","JANICEA1","JANICEA1","2020-09-07 11:37:33","2020-09-07 11:37:33","","CG852"
"!HEG566L","!REG54I6","OST  ","OSTPO","2020-06-02 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:37:33","2020-09-07 11:37:33","EURLI","CG852"
"!HEG566P","!REG54ID","ORT  ","OSTSD","2020-06-02 00:00:00","","0.02","","JANICEA1","JANICEA1","2020-09-07 11:37:33","2020-09-07 11:37:33","","CG852"
"!HEG566R","!REG54ID","ORT  ","OSTNM","2020-06-02 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:37:33","2020-09-07 11:37:33","NMFCF","CG852"
"!HEG566T","!REG54ID","ORT  ","OSTNA","2020-06-02 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:37:33","2020-09-07 11:37:33","","CG852"
"!HEG566V","!REG54ID","ORT  ","OSTRB","2020-06-02 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:37:33","2020-09-07 11:37:33","G365","CG852"
"!JEHQYI5","!8EHQXM0","IBC  ","OSTFX","2021-01-28 00:00:00","","1","","MGRRON01","MGRRON01","2020-10-08 18:14:27","2020-10-08 18:14:27","",""
"!KEF5UVE","V8EF4706","DEA  ","PSPD ","2020-05-27 00:00:00","","","N","LIQSVR05","LIQSVR05","2020-08-19 10:03:07","2020-08-19 10:03:07","","CG852"
"!KEF5UW9","V8EF4733","FEE  ","FEERT","2020-05-27 00:00:00","","0.0129","","LIQSVR05","LIQSVR05","2020-08-19 10:03:34","2020-08-19 10:03:34","","CG852"
"!KEF5UWB","V8EF471U","FAC  ","FMTDT","2020-05-27 00:00:00","","","","LIQSVR05","LIQSVR05","2020-08-19 10:03:34","2020-08-19 10:03:34","2027-06-25","CG852"
"!MEK3RLU","!MEK3RJV","ORT  ","OTPSS","2021-11-02 00:00:00","","","","B116594 ","B116594 ","2020-11-23 15:27:01","2020-11-23 15:27:01","OFF","CG852"
"!MEK3RLV","!MEK3RJV","ORT  ","OSTPS","2021-11-02 00:00:00","","0","","B116594 ","B116594 ","2020-11-23 15:27:01","2020-11-23 15:27:01","","CG852"
"!MEK3RMB","!MEK3RJV","ORT  ","RWBRT","2021-11-02 00:00:00","","0.02","","B116594 ","B116594 ","2020-11-23 15:27:17","2020-11-23 15:27:17","","CG852"
"!MEK3RMM","!MEK3RJV","ORT  ","OSTRT","2021-11-02 00:00:00","","0.02","","B116594 ","B116594 ","2020-11-23 15:27:17","2020-11-23 15:27:17","","CG852"
"!NEG582O","!1EG56OY","OST  ","OSTPO","2020-05-29 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:48:48","2020-09-07 11:48:48","EURLI","CG852"
"!NEG582S","!NEG582R","NCS  ","FRS  ","2020-05-29 00:00:00","","0","","JANICEA1","JANICEA1","2020-09-07 11:48:48","2020-09-07 11:48:48","",""
"!NEG582U","!1EG56OY","OST  ","OSTFX","2020-05-29 00:00:00","","1","","JANICEA1","JANICEA1","2020-09-07 11:48:48","2020-09-07 11:48:48","","CG852"
"!NEG582V","!1EG56P4","ORT  ","PCTRF","2020-05-29 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:48:48","2020-09-07 11:48:48","","CG852"
"!NEG582W","!1EG56OY","OST  ","RPRGF","2020-05-29 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:48:48","2020-09-07 11:48:48","1D","CG852"
"!NEG582X","!1EG56OY","OST  ","RDGIF","2020-05-29 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:48:48","2020-09-07 11:48:48","1/8","CG852"
"!NEG582Y","!1EG56OY","OST  ","RDGFM","2020-05-29 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:48:48","2020-09-07 11:48:48","NONE","CG852"
"!NEG582Z","!1EG56OY","OST  ","RDGDP","2020-05-29 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:48:48","2020-09-07 11:48:48","3","CG852"
"!NEG5830","!1EG56OY","OST  ","RDGDM","2020-05-29 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:48:48","2020-09-07 11:48:48","NONE","CG852"
"!NEG5831","!1EG56OY","OST  ","RDGAM","2020-05-29 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:48:48","2020-09-07 11:48:48","BASEF","CG852"
"!NEG583N","!1EG56P4","ORT  ","OSTSD","2020-05-29 00:00:00","","0.04","","JANICEA1","JANICEA1","2020-09-07 11:48:48","2020-09-07 11:48:48","","CG852"
"!NEG583P","!1EG56P4","ORT  ","OSTNM","2020-05-29 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:48:48","2020-09-07 11:48:48","NMFCF","CG852"
"!NEG583R","!1EG56P4","ORT  ","OSTNA","2020-05-29 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:48:48","2020-09-07 11:48:48","","CG852"
"!NEG583T","!1EG56P4","ORT  ","OSTRB","2020-05-29 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 11:48:48","2020-09-07 11:48:48","G365","CG852"
"!REG54K8","!REG54ID","ORT  ","OTPSS","2020-06-02 00:00:00","","","","JAQUITAN","JAQUITAN","2020-09-07 11:32:35","2020-09-07 11:32:35","OFF","CG852"
"!REG54K9","!REG54ID","ORT  ","OSTPS","2020-06-02 00:00:00","","0","","JAQUITAN","JAQUITAN","2020-09-07 11:32:35","2020-09-07 11:32:35","","CG852"
"!REG54L5","!REG54ID","ORT  ","RWBRT","2020-06-02 00:00:00","","0.02","","JAQUITAN","JAQUITAN","2020-09-07 11:32:44","2020-09-07 11:32:44","","CG852"
"!REG54LG","!REG54ID","ORT  ","OSTRT","2020-06-02 00:00:00","","0.02","","JAQUITAN","JAQUITAN","2020-09-07 11:32:44","2020-09-07 11:32:44","","CG852"
"!TEDTXSM","!TEDTXRW","FRCVR","FREC ","2020-06-01 00:00:00","","","","DJRHINPT","DJRHINPT","2020-07-24 15:38:26","2020-07-24 15:38:26","BG_COL",""
"!TEG50XL","!TEG50VX","ORT  ","OTPSS","2020-05-29 00:00:00","","","","JAQUITAN","JAQUITAN","2020-09-07 11:11:24","2020-09-07 11:11:24","OFF","CG852"
"!TEG50XM","!TEG50VX","ORT  ","OSTPS","2020-05-29 00:00:00","","0","","JAQUITAN","JAQUITAN","2020-09-07 11:11:24","2020-09-07 11:11:24","","CG852"
"!TEG50YT","!TEG50VX","ORT  ","RWBRT","2020-05-29 00:00:00","","0.03","","JAQUITAN","JAQUITAN","2020-09-07 11:11:52","2020-09-07 11:11:52","","CG852"
"!TEG50Z4","!TEG50VX","ORT  ","OSTRT","2020-05-29 00:00:00","","0.03","","JAQUITAN","JAQUITAN","2020-09-07 11:11:52","2020-09-07 11:11:52","","CG852"
"!TEK3UK9","!TEK3UK8","NCS  ","FRS  ","2021-11-08 00:00:00","","0","","MGRRON01","MGRRON01","2020-11-23 14:40:19","2020-11-23 14:40:19","",""
"!VEDUFIH","!BEDUE1Q","IBC  ","OSTFX","2020-06-01 00:00:00","","1","","RPTMGR01","RPTMGR01","2020-07-24 21:21:40","2020-07-24 21:21:40","",""
"!WEDU6II","!WEDU6IA","FRCVR","FREC ","2020-06-01 00:00:00","","","","DJRHINPT","DJRHINPT","2020-07-24 17:39:20","2020-07-24 17:39:20","BG_COL",""
"!YEDTYQ8","!YEDTYPJ","FRCVR","FREC ","2020-06-01 00:00:00","","","","DJRHINPT","DJRHINPT","2020-07-24 15:58:36","2020-07-24 15:58:36","BG_COL",""
