"ACCOUNTID"|"NOMINALCODE"|"NOMINALDESCRIPTION"|"TRANSACTIONSRID"|"TRANSACTIONID"|"HOSTTRANCODE"|"SOURCETRANCODE"|"TRANSACTIONDATE"|"POSTINGDATE"|"VALUEDATE"|"ISOCURRENCYCODE"|"DEBITCREDITFLAG"|"AMOUNT"|"AMOUNTCREDIT"|"AMOUNTDEBIT"|"HOSTBRANCH"|"UBCHANNELID"|"SUBPRODUCTCODE"|"CUSTOMERCODE"|"SOURCEREF1"|"SOURCEREF2"|"NARRATION"|"SOURCEBRANCH"|"SOURCECOSTCENTERCODE"|"AFFILIATECODE"|"SOURCEDEALNO"|"SOURCECUSTOMERCODE"
"029105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d8296cc12Jq"|"01174d8296cae2JX"|"DRV"|"INTAC"|"2020-09-29 06:40:27"|"2020-07-12 23:20:35"|"2020-07-07 00:00:00"|"CAD"|"D"|"-0.57"|"0"|"0.57"|"00000852"|"LIQ"|"91050InternalCAD"|"000852"|"0TEH9SXE"|"ZDEGPJOR"|"Interest Accrual"|"CG852"|"BP_COL"|"OTHER"|"OSTB+EGM7QV"|"37"
"029401000085200"|"INCMINTEVAR"|"Interest Income LAR - Loans Variable"|"01174d8296cc12Js"|"01174d8296cae2JX"|"CRV"|"INTAC"|"2020-09-29 06:40:27"|"2020-07-12 23:20:35"|"2020-07-07 00:00:00"|"CAD"|"C"|"0.57"|"0.57"|"0"|"00000852"|"LIQ"|"94010InternalCAD"|"000852"|"0TEH9SXF"|"ZDEGPJOR"|"Interest Accrual"|"CG852"|"BP_COL"|"OTHER"|"OSTB+EGM7QV"|"37"
"039105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d829e80d33U"|"01174d829e7f633B"|"DRV"|"INTAC"|"2020-09-29 06:40:59"|"2020-07-12 23:21:07"|"2020-07-07 00:00:00"|"CHF"|"D"|"-0.82"|"0"|"0.82"|"00000852"|"LIQ"|"91050InternalCHF"|"000852"|"0TEH9SXG"|"MAEGYNTQ"|"Interest Accrual"|"CG852"|"BP_COL"|"OTHER"|"OSTB+EGM97T"|"37"
"039105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d829e89633z"|"01174d829e87133g"|"DRV"|"INTAC"|"2020-09-29 06:40:59"|"2020-07-12 23:21:07"|"2020-07-07 00:00:00"|"CHF"|"D"|"-1.04"|"0"|"1.04"|"00000852"|"LIQ"|"91050InternalCHF"|"000852"|"0TEH9SYA"|"MAEGYNUW"|"Interest Accrual"|"CG852"|"BP_COL"|"OTHER"|"OSTB+EGMA8L"|"37"
"039401000085200"|"INCMINTEVAR"|"Interest Income LAR - Loans Variable"|"01174d829e80d33W"|"01174d829e7f633B"|"CRV"|"INTAC"|"2020-09-29 06:40:59"|"2020-07-12 23:21:07"|"2020-07-07 00:00:00"|"CHF"|"C"|"0.82"|"0.82"|"0"|"00000852"|"LIQ"|"94010InternalCHF"|"000852"|"0TEH9SXH"|"MAEGYNTQ"|"Interest Accrual"|"CG852"|"BP_COL"|"OTHER"|"OSTB+EGM97T"|"37"
"039401000085200"|"INCMINTEVAR"|"Interest Income LAR - Loans Variable"|"01174d829e896341"|"01174d829e87133g"|"CRV"|"INTAC"|"2020-09-29 06:40:59"|"2020-07-12 23:21:07"|"2020-07-07 00:00:00"|"CHF"|"C"|"1.04"|"1.04"|"0"|"00000852"|"LIQ"|"94010InternalCHF"|"000852"|"0TEH9SYB"|"MAEGYNUW"|"Interest Accrual"|"CG852"|"BP_COL"|"OTHER"|"OSTB+EGMA8L"|"37"
"049105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d8296dbb2Kp"|"01174d8296d9d2KW"|"DRV"|"INTAC"|"2020-09-29 06:40:27"|"2020-07-12 23:20:35"|"2020-07-07 00:00:00"|"CNH"|"D"|"-0.68"|"0"|"0.68"|"00000852"|"LIQ"|"91050InternalCNH"|"000852"|"0TEH9SXU"|"0TEH9SXK"|"Interest Accrual"|"CG852"|"BP_COL"|"OTHER"|"OSTB+EGM9NV"|"37"
"049401000085200"|"INCMINTEVAR"|"Interest Income LAR - Loans Variable"|"01174d8296dbb2Kr"|"01174d8296d9d2KW"|"CRV"|"INTAC"|"2020-09-29 06:40:27"|"2020-07-12 23:20:35"|"2020-07-07 00:00:00"|"CNH"|"C"|"0.68"|"0.68"|"0"|"00000852"|"LIQ"|"94010InternalCNH"|"000852"|"0TEH9SXV"|"0TEH9SXK"|"Interest Accrual"|"CG852"|"BP_COL"|"OTHER"|"OSTB+EGM9NV"|"37"
"089102000085200"|"LOANPRNEVAR"|"Loans Principal - Variable"|"01174d82a2f393UG"|"01174d82a2e9b3To"|"CRV"|"PRINP"|"2020-09-29 06:41:17"|"2020-07-12 23:21:25"|"2020-07-07 00:00:00"|"EUR"|"C"|"2000"|"2000"|"0"|"00000852"|"LIQ"|"91020InternalEUR"|"000852"|"NWEH2C82"|"N.EH2BO5"|"Principal Payment"|"CG852"|"BP_COL"|"OTHER"|"OSTHZEFJ1HC"|"37"
"089102000085200"|"LOANPRNEVAR"|"Loans Principal - Variable"|"01174d829e32531N"|"01174d829e069311"|"DRV"|"LNDR"|"2020-09-29 06:40:57"|"2020-07-12 23:21:06"|"2020-07-07 00:00:00"|"EUR"|"D"|"-1300000"|"0"|"1300000"|"00000852"|"LIQ"|"91020InternalEUR"|"000852"|"GYEH9TTQ"|"G)EH9SQV"|"Loan Drawdown"|"CG852"|"BG_COL"|"OTHER"|"OSTG)EH9SQ0"|"53"
"089102100085200"|"LOANPRNEFIX"|"Loans Principal - Fixed"|"01174d829fb393IC"|"01174d829fb193Hr"|"DRV"|"LNDR"|"2020-09-29 06:41:04"|"2020-07-12 23:21:12"|"2020-07-07 00:00:00"|"EUR"|"D"|"-190000"|"0"|"190000"|"00000852"|"LIQ"|"91021InternalEUR"|"000852"|"Q)EH9NBD"|":+EH7WCH"|"Loan Drawdown"|"CG852"|"BG_COL"|"FIXED"|"OST:+EH7WBA"|"57"
"089102100085200"|"LOANPRNEFIX"|"Loans Principal - Fixed"|"01174d829fbb73Ig"|"01174d829fb993IL"|"DRV"|"LNDR"|"2020-09-29 06:41:04"|"2020-07-12 23:21:12"|"2020-07-07 00:00:00"|"EUR"|"D"|"-210000"|"0"|"210000"|"00000852"|"LIQ"|"91021InternalEUR"|"000852"|"Q)EH9NPP"|":+EH8RN6"|"Loan Drawdown"|"CG852"|"BG_COL"|"FIXED"|"OST:+EH8RLZ"|"57"
