CenterID,ISOCurrencyCode,ISOCountryCode,FinancialCentre,CentreCode,EventYear,EventDate,EventDayOfWeek,EventName,FileType
364,EUR,DZ,Bratislava,HKZ,2018,20181214,Fri,Founding of Slovak Republic,B
364,EUR,DZ,Bratislava,HKZ,2018,20181215,Sat,Epiphany,B
364,EUR,DZ,Bratislava,HKZ,2018,20181216,Sun,Good Friday,B
364,EUR,DZ,Bratislava,HKZ,2018,20181217,Mon,Easter Monday,B
364,EUR,DZ,Bratislava,HKZ,2018,20181218,Tue,Labour Day,B
364,EUR,DZ,Bratislava,HKZ,2018,20181219,Wed,V-E Day,B
364,EUR,DZ,Bratislava,HKZ,2018,20181220,Thu,Sts. Cyril and Methodius Day,B
364,EUR,DZ,Bratislava,HKZ,2018,20181221,Fri,Anniversary of Slovak National Uprising,B
364,EUR,DZ,Bratislava,HKZ,2019,20190106,Sun,Epiphany,B
364,EUR,DZ,Bratislava,HKZ,2019,20190419,Fri,Good Friday,B
