GS_SNAP,GS_INSTR_DESC,GS_TRGT_CCY,GS_INSTR_TYPE,GS_INSTR_PRC_TYPE,GS_INSTR_PRICE,GS_VALUE_DATE,GS_PROCESSING_DATE
NEW YORK,RUSDCHFSPOTFXMID2D_LOW,CHF,FX-SPOT,ASK,0.993,2018-12-13,2018-04-17
NEW YORK,ARTUSDCNHSPOTFXMID2D_LOW,CNH,FX-SPOT,ASK,6.879,2018-12-13,2018-04-17
NEW YORK,RUSDSGDSPOTFXMID2D_LOW,SGD,FX-SPOT,ASK,1.37,2018-12-13,2018-04-17
NEW YORK,RUSDNOKSPOTFXMID2D_LOW,NOK,FX-SPOT,ASK,8.56,2018-12-13,2018-04-17
NEW YORK,RUSDDKKSPOTFXMID2D_LOW,DKK,FX-SPOT,ASK,6.56,2018-12-13,2018-04-17
NEW YORK,RGBPUSDSPOTFXMID2D_LOW,USD,FX-SPOT,ASK,1.26,2018-12-13,2018-04-17
NEW YORK,REURUSDSPOTFXMID2D_LOW,USD,FX-SPOT,ASK,1.13,2018-12-13,2018-04-17
NEW YORK,RUSDIDRSPOTFXMID2D_LOW,IDR,FX-SPOT,ASK,145,2018-12-13,2018-04-17
NEW YORK,RUSDJPYSPOTFXMID2D_LOW,JPY,FX-SPOT,ASK,113.6,2018-12-13,2018-04-17
NEW YORK,RUSDMXNSPOTFXASK2D,MXN,FX-SPOT,ASK,20.301,2018-12-13,2018-04-17
NEW YORK,RUSDZARSPOTFXMID2D_LOW,ZAR,FX-SPOT,ASK,14.1,2018-12-13,2018-04-17
NEW YORK,RUSDHKDSPOTFXMID2D_LOW,HKD,FX-SPOT,ASK,7.81,2018-12-13,2018-04-17
NEW YORK,RUSDCNYSPOTFXMID2D_LOW,CNY,FX-SPOT,ASK,6.88,2018-12-13,2018-04-17
NEW YORK,RAUDUSDSPOTFX2D_LOW,USD,FX-SPOT,ASK,0.72,2018-12-13,2018-04-17
NEW YORK,RUSDSEKSPOTFXMID2D_LOW,SEK,FX-SPOT,ASK,9.056,2018-12-13,2018-04-17
