GS_SNAP,GS_INSTR_DESC,GS_BASE_CCY,GS_TRGT_CCY,GS_INSTR_TYPE,GS_INSTR_PRC_TYPE,GS_INSTR_PRICE,GS_VALUE_DATE,GS_PROCESSING_DATE
NEW YORK,RUSDCHFSPOTFXMID2D_LOW,USD,CHF,FX-SPOT,ASK,0.993,2019-01-27,2019-01-27
NEW YORK,RUSDCHFSPOTFXMID2D_LOW,USD,CHF,FX-SPOT,ASK,0.993,2019-01-27,2019-01-27
NEW YORK,ARTUSDCNHSPOTFXMID2D_LOW,USD,CNH,FX-SPOT,ASK,6.879,2019-01-27,2019-01-27
NEW YORK,RUSDSGDSPOTFXMID2D_LOW,USD,SGD,FX-SPOT,ASK,1.37,2019-01-27,2019-01-27
NEW YORK,RUSDNOKSPOTFXMID2D_LOW,USD,NOK,FX-SPOT,ASK,8.56,2019-01-27,2019-01-27
NEW YORK,RUSDDKKSPOTFXMID2D_LOW,USD,DKK,FX-SPOT,ASK,6.56,2019-01-27,2019-01-27
NEW YORK,RGBPUSDSPOTFXMID2D_LOW,GBP,USD,FX-SPOT,ASK,1.26,2019-01-27,2019-01-27
NEW YORK,REURUSDSPOTFXMID2D_LOW,EUR,USD,FX-SPOT,ASK,1.13,2019-01-27,2019-01-27
NEW YORK,RUSDIDRSPOTFXMID2D_LOW,USD,IDR,FX-SPOT,ASK,145,2019-01-27,2019-01-27
NEW YORK,RUSDJPYSPOTFXMID2D_LOW,USD,JPY,FX-SPOT,ASK,113.6,2019-01-27,2019-01-27
NEW YORK,RUSDMXNSPOTFXASK2D,USD,MXN,FX-SPOT,ASK,20.301,2019-01-27,2019-01-27
NEW YORK,RUSDZARSPOTFXMID2D_LOW,USD,ZAR,FX-SPOT,ASK,14.1,2019-01-27,2019-01-27
NEW YORK,RUSDHKDSPOTFXMID2D_LOW,USD,HKD,FX-SPOT,ASK,7.81,2019-01-27,2019-01-27
NEW YORK,RUSDCNYSPOTFXMID2D_LOW,USD,CNY,FX-SPOT,ASK,6.88,2019-01-27,2019-01-27
NEW YORK,RAUDUSDSPOTFX2D_LOW,AUD,USD,FX-SPOT,ASK,0.72,2019-01-27,2019-01-27
NEW YORK,RUSDSEKSPOTFXMID2D_LOW,USD,SEK,FX-SPOT,ASK,9.056,2019-01-27,2019-01-27
NEW YORK,RUSDCADSPOTFXMID2D_LOW,USD,CAD,FX-SPOT,ASK,9.056,2019-01-27,2019-01-27
NEW YORK,RUSDTHBSPOTFXMID2D_LOW,USD,THB,FX-SPOT,ASK,9.05,2019-01-27,2019-01-27
NEW YORK,RUSDCZKSPOTFXASK2D,USD,CZK,FX-SPOT,ASK,9.05731,2019-01-27,2019-01-27
NEW YORK,RNZDUSDSPOTFXMID2D_LOW,NZD,USD,FX-SPOT,ASK,9.0574,2019-01-27,2019-01-27
NEW YORK,RUSDCHFSPOTFXMID2D_LOW,USD,CHF,FX-SPOT,BID,9.0575,2019-01-27,2019-01-27
NEW YORK,ARTUSDCNHSPOTFXMID2D_LOW,USD,CNH,FX-SPOT,BID,9.0576,2019-01-27,2019-01-27
NEW YORK,RUSDSGDSPOTFXMID2D_LOW,USD,SGD,FX-SPOT,BID,9.0577,2019-01-27,2019-01-27
NEW YORK,RUSDNOKSPOTFXMID2D_LOW,USD,NOK,FX-SPOT,BID,9.0578,2019-01-27,2019-01-27
NEW YORK,RUSDDKKSPOTFXMID2D_LOW,USD,DKK,FX-SPOT,BID,9.0579,2019-01-27,2019-01-27
NEW YORK,RGBPUSDSPOTFXMID2D_LOW,GBP,USD,FX-SPOT,BID,9.058,2019-01-27,2019-01-27
NEW YORK,REURUSDSPOTFXMID2D_LOW,EUR,USD,FX-SPOT,BID,9.0581,2019-01-27,2019-01-27
NEW YORK,RUSDIDRSPOTFXMID2D_LOW,USD,IDR,FX-SPOT,BID,9.0582,2019-01-27,2019-01-27
NEW YORK,RUSDJPYSPOTFXMID2D_LOW,USD,JPY,FX-SPOT,BID,9.0583,2019-01-27,2019-01-27
NEW YORK,RUSDHKDSPOTFXMID2D_LOW,USD,HKD,FX-SPOT,BID,9.0584,2019-01-27,2019-01-27
NEW YORK,RUSDMXNSPOTFXASK2D,USD,MXN,FX-SPOT,BID,9.0585,2019-01-27,2019-01-27
NEW YORK,RUSDZARSPOTFXMID2D_LOW,USD,ZAR,FX-SPOT,BID,9.0586,2019-01-27,2019-01-27
NEW YORK,RUSDCNYSPOTFXMID2D_LOW,USD,CNY,FX-SPOT,BID,9.0587,2019-01-27,2019-01-27
NEW YORK,RAUDUSDSPOTFX2D_LOW,AUD,USD,FX-SPOT,BID,9.0588,2019-01-27,2019-01-27
NEW YORK,RUSDSEKSPOTFXMID2D_LOW,USD,SEK,FX-SPOT,BID,9.0589,2019-01-27,2019-01-27
NEW YORK,RUSDTHBSPOTFXMID2D_LOW,USD,THB,FX-SPOT,BID,9.059,2019-01-27,2019-01-27
NEW YORK,RUSDCADSPOTFXMID2D_LOW,USD,CAD,FX-SPOT,BID,9.0591,2019-01-27,2019-01-27
NEW YORK,RUSDCZKSPOTFXASK2D,USD,CZK,FX-SPOT,BID,9.0592,2019-01-27,2019-01-27
NEW YORK,RNZDUSDSPOTFXMID2D_LOW,NZD,USD,FX-SPOT,BID,9.0593,2019-01-27,2019-01-27
NEW YORK,RUSDCHFSPOTFXMID2D_LOW,USD,CHF,FX-SPOT,MID,5.9594,2019-01-27,2019-01-27
NEW YORK,ARTUSDCNHSPOTFXMID2D_LOW,USD,CNH,FX-SPOT,MID,5.9595,2019-01-27,2019-01-27
NEW YORK,RUSDSGDSPOTFXMID2D_LOW,USD,SGD,FX-SPOT,MID,5.9596,2019-01-27,2019-01-27
NEW YORK,RUSDNOKSPOTFXMID2D_LOW,USD,NOK,FX-SPOT,MID,5.9597,2019-01-27,2019-01-27
NEW YORK,RUSDDKKSPOTFXMID2D_LOW,USD,DKK,FX-SPOT,MID,5.9598,2019-01-27,2019-01-27
NEW YORK,RGBPUSDSPOTFXMID2D_LOW,GBP,USD,FX-SPOT,MID,5.9599,2019-01-27,2019-01-27
NEW YORK,REURUSDSPOTFXMID2D_LOW,EUR,USD,FX-SPOT,MID,5.96,2019-01-27,2019-01-27
NEW YORK,RUSDJPYSPOTFXMID2D_LOW,USD,JPY,FX-SPOT,MID,5.9601,2019-01-27,2019-01-27
