GS_SNAP,GS_INSTR_DESC,GS_BASE_CCY,GS_TRGT_CCY,GS_INSTR_TYPE,GS_INSTR_PRC_TYPE,GS_INSTR_PRICE,GS_VALUE_DATE,GS_PROCESSING_DATE
SYDNEY,RUSDCHFSPOTFXMID2D_LOW,USD,CHF,FX-SPOT,ASK,0.993,2021-10-03,2021-10-03
SYDNEY,ARTUSDCNHSPOTFXMID2D_LOW,USD,CNH,FX-SPOT,ASK,6.879,2021-10-03,2021-10-03
SYDNEY,RUSDSGDSPOTFXMID2D_LOW,USD,SGD,FX-SPOT,ASK,1.37,2021-10-03,2021-10-03
SYDNEY,RUSDNOKSPOTFXMID2D_LOW,USD,NOK,FX-SPOT,ASK,8.56,2021-10-03,2021-10-03
SYDNEY,RUSDDKKSPOTFXMID2D_LOW,USD,DKK,FX-SPOT,ASK,6.56,2021-10-03,2021-10-03
SYDNEY,RGBPUSDSPOTFXMID2D_LOW,GBP,USD,FX-SPOT,ASK,1.26,2021-10-03,2021-10-03
SYDNEY,REURUSDSPOTFXMID2D_LOW,EUR,USD,FX-SPOT,ASK,1.13,2021-10-03,2021-10-03
SYDNEY,RUSDIDRSPOTFXMID2D_LOW,USD,IDR,FX-SPOT,ASK,145,2021-10-03,2021-10-03
SYDNEY,RUSDJPYSPOTFXMID2D_LOW,USD,JPY,FX-SPOT,ASK,113.6,2021-10-03,2021-10-03
SYDNEY,RUSDMXNSPOTFXASK2D,USD,MXN,FX-SPOT,ASK,20.301,2021-10-03,2021-10-03
SYDNEY,RUSDZARSPOTFXMID2D_LOW,USD,ZAR,FX-SPOT,ASK,14.1,2021-10-03,2021-10-03
SYDNEY,RUSDHKDSPOTFXMID2D_LOW,USD,HKD,FX-SPOT,ASK,7.81,2021-10-03,2021-10-03
SYDNEY,RUSDCNYSPOTFXMID2D_LOW,USD,CNY,FX-SPOT,ASK,6.88,2021-10-03,2021-10-03
SYDNEY,RAUDUSDSPOTFX2D_LOW,AUD,USD,FX-SPOT,ASK,0.72,2021-10-03,2021-10-03
SYDNEY,RUSDSEKSPOTFXMID2D_LOW,USD,SEK,FX-SPOT,ASK,9.056,2021-10-03,2021-10-03
SYDNEY,RUSDCADSPOTFXMID2D_LOW,USD,CAD,FX-SPOT,ASK,9.056,2021-10-03,2021-10-03
SYDNEY,RUSDTHBSPOTFXMID2D_LOW,USD,THB,FX-SPOT,ASK,9.05,2021-10-03,2021-10-03
SYDNEY,RUSDCZKSPOTFXASK2D,USD,CZK,FX-SPOT,ASK,9.05731,2021-10-03,2021-10-03
SYDNEY,RNZDUSDSPOTFXMID2D_LOW,NZD,USD,FX-SPOT,ASK,9.0574,2021-10-03,2021-10-03
SYDNEY,RUSDCHFSPOTFXMID2D_LOW,USD,CHF,FX-SPOT,BID,9.0575,2021-10-03,2021-10-03
SYDNEY,ARTUSDCNHSPOTFXMID2D_LOW,USD,CNH,FX-SPOT,BID,9.0576,2021-10-03,2021-10-03
SYDNEY,RUSDSGDSPOTFXMID2D_LOW,USD,SGD,FX-SPOT,BID,9.0577,2021-10-03,2021-10-03
SYDNEY,RUSDNOKSPOTFXMID2D_LOW,USD,NOK,FX-SPOT,BID,9.0578,2021-10-03,2021-10-03
SYDNEY,RUSDDKKSPOTFXMID2D_LOW,USD,DKK,FX-SPOT,BID,9.0579,2021-10-03,2021-10-03
SYDNEY,RGBPUSDSPOTFXMID2D_LOW,GBP,USD,FX-SPOT,BID,9.058,2021-10-03,2021-10-03
