GS_SNAP,GS_INSTR_DESC,GS_BASE_CCY,GS_TRGT_CCY,GS_INSTR_TYPE,GS_INSTR_PRC_TYPE,GS_INSTR_PRICE,GS_VALUE_DATE,GS_PROCESSING_DATE
NEW YORK,RUSDCHFSPOTFXMID2D_LOW,USD,CHF,FX-SPOT,ASK,0.9936,2018-12-13,2018-07-05
NEW YORK,ARTUSDCNHSPOTFXMID2D_LOW,USD,CNH,FX-SPOT,ASK,6.8797,2018-12-13,2018-07-05
NEW YORK,RUSDSGDSPOTFXMID2D_LOW,USD,SGD,FX-SPOT,ASK,1.3713,2018-12-13,2018-07-05
NEW YORK,RUSDNOKSPOTFXMID2D_LOW,USD,NOK,FX-SPOT,ASK,8.5627,2018-12-13,2018-07-05
NEW YORK,RUSDDKKSPOTFXMID2D_LOW,USD,DKK,FX-SPOT,ASK,6.5676,2018-12-13,2018-07-05
NEW YORK,RGBPUSDSPOTFXMID2D_LOW,GBP,USD,FX-SPOT,ASK,1.2661,2018-12-13,2018-07-05
NEW YORK,REURUSDSPOTFXMID2D_LOW,EUR,USD,FX-SPOT,ASK,1.1367,2018-12-13,2018-07-05
NEW YORK,RUSDIDRSPOTFXMID2D_LOW,USD,IDR,FX-SPOT,ASK,14520,2018-12-13,2018-07-05
NEW YORK,RUSDJPYSPOTFXMID2D_LOW,USD,JPY,FX-SPOT,ASK,113.62,2018-12-13,2018-07-05
NEW YORK,RUSDMXNSPOTFXASK2D,USD,MXN,FX-SPOT,ASK,20.3015,2018-12-13,2018-07-05
NEW YORK,RUSDZARSPOTFXMID2D_LOW,USD,ZAR,FX-SPOT,ASK,14.19,2018-12-13,2018-07-05
NEW YORK,RUSDHKDSPOTFXMID2D_LOW,USD,HKD,FX-SPOT,ASK,7.813,2018-12-13,2018-07-05
NEW YORK,RUSDCNYSPOTFXMID2D_LOW,USD,CNY,FX-SPOT,ASK,6.8834,2018-12-13,2018-07-05
NEW YORK,RAUDUSDSPOTFX2D_LOW,AUD,USD,FX-SPOT,ASK,0.7227,2018-12-13,2018-07-05
NEW YORK,RUSDSEKSPOTFXMID2D_LOW,USD,SEK,FX-SPOT,ASK,9.0568,2018-12-13,2018-07-05
NEW YORK,RUSDCADSPOTFXMID2D_LOW,USD,CAD,FX-SPOT,ASK,1.3357,2018-12-13,2018-07-05
NEW YORK,RUSDTHBSPOTFXMID2D_LOW,USD,THB,FX-SPOT,ASK,32.75,2018-12-13,2018-07-05
NEW YORK,RUSDCZKSPOTFXASK2D,USD,CZK,FX-SPOT,ASK,22.722,2018-12-13,2018-07-05
NEW YORK,RNZDUSDSPOTFXMID2D_LOW,NZD,USD,FX-SPOT,ASK,0.6862,2018-12-13,2018-07-05
NEW YORK,RUSDCHFSPOTFXMID2D_LOW,USD,CHF,FX-SPOT,BID,0.9932,2018-12-13,2018-07-05
NEW YORK,ARTUSDCNHSPOTFXMID2D_LOW,USD,CNH,FX-SPOT,BID,6.8777,2018-12-13,2018-07-05
NEW YORK,RUSDSGDSPOTFXMID2D_LOW,USD,SGD,FX-SPOT,BID,1.3708,2018-12-13,2018-07-05
NEW YORK,RUSDNOKSPOTFXMID2D_LOW,USD,NOK,FX-SPOT,BID,8.5577,2018-12-13,2018-07-05
NEW YORK,RUSDDKKSPOTFXMID2D_LOW,USD,DKK,FX-SPOT,BID,6.5666,2018-12-13,2018-07-05
NEW YORK,RGBPUSDSPOTFXMID2D_LOW,GBP,USD,FX-SPOT,BID,1.266,2018-12-13,2018-07-05
NEW YORK,REURUSDSPOTFXMID2D_LOW,EUR,USD,FX-SPOT,BID,1.1366,2018-12-13,2018-07-05
NEW YORK,RUSDIDRSPOTFXMID2D_LOW,USD,IDR,FX-SPOT,BID,14510,2018-12-13,2018-07-05
NEW YORK,RUSDJPYSPOTFXMID2D_LOW,USD,JPY,FX-SPOT,BID,113.59,2018-12-13,2018-07-05
NEW YORK,RUSDHKDSPOTFXMID2D_LOW,USD,HKD,FX-SPOT,BID,7.8122,2018-12-13,2018-07-05
NEW YORK,RUSDMXNSPOTFXASK2D,USD,MXN,FX-SPOT,BID,20.29,2018-12-13,2018-07-05
NEW YORK,RUSDZARSPOTFXMID2D_LOW,USD,ZAR,FX-SPOT,BID,14.18,2018-12-13,2018-07-05
NEW YORK,RUSDCNYSPOTFXMID2D_LOW,USD,CNY,FX-SPOT,BID,6.8798,2018-12-13,2018-07-05
NEW YORK,RAUDUSDSPOTFX2D_LOW,AUD,USD,FX-SPOT,BID,0.7226,2018-12-13,2018-07-05
NEW YORK,RUSDSEKSPOTFXMID2D_LOW,USD,SEK,FX-SPOT,BID,9.0538,2018-12-13,2018-07-05
NEW YORK,RUSDTHBSPOTFXMID2D_LOW,USD,THB,FX-SPOT,BID,32.72,2018-12-13,2018-07-05
NEW YORK,RUSDCADSPOTFXMID2D_LOW,USD,CAD,FX-SPOT,BID,1.3353,2018-12-13,2018-07-05
NEW YORK,RUSDCZKSPOTFXASK2D,USD,CZK,FX-SPOT,BID,22.712,2018-12-13,2018-07-05
NEW YORK,RNZDUSDSPOTFXMID2D_LOW,NZD,USD,FX-SPOT,BID,0.686,2018-12-13,2018-07-05
NEW YORK,RUSDCHFSPOTFXMID2D_LOW,USD,CHF,FX-SPOT,MID,2,2018-12-13,2018-07-05
NEW YORK,ARTUSDCNHSPOTFXMID2D_LOW,USD,CNH,FX-SPOT,MID,2,2018-12-13,2018-07-05
NEW YORK,RUSDSGDSPOTFXMID2D_LOW,USD,SGD,FX-SPOT,MID,2,2018-12-13,2018-07-05
NEW YORK,RUSDNOKSPOTFXMID2D_LOW,USD,NOK,FX-SPOT,MID,2,2018-12-13,2018-07-05
NEW YORK,RUSDDKKSPOTFXMID2D_LOW,USD,DKK,FX-SPOT,MID,2,2018-12-13,2018-07-05
NEW YORK,RGBPUSDSPOTFXMID2D_LOW,GBP,USD,FX-SPOT,MID,2,2018-12-13,2018-07-05
NEW YORK,REURUSDSPOTFXMID2D_LOW,EUR,USD,FX-SPOT,MID,2,2018-12-13,2018-07-05
NEW YORK,RUSDJPYSPOTFXMID2D_LOW,USD,JPY,FX-SPOT,MID,2,2018-12-13,2018-07-05
NEW YORK,RUSDIDRSPOTFXMID2D_LOW,USD,IDR,FX-SPOT,MID,2,2018-12-13,2018-07-05
NEW YORK,RUSDHKDSPOTFXMID2D_LOW,USD,HKD,FX-SPOT,MID,2,2018-12-13,2018-07-05
NEW YORK,RUSDMXNSPOTFXASK2D,USD,MXN,FX-SPOT,MID,2,2018-12-13,2018-07-05
NEW YORK,RUSDZARSPOTFXMID2D_LOW,USD,ZAR,FX-SPOT,MID,2,2018-12-13,2018-07-05
NEW YORK,RUSDCNYSPOTFXMID2D_LOW,USD,CNY,FX-SPOT,MID,2,2018-12-13,2018-07-05
NEW YORK,RAUDUSDSPOTFX2D_LOW,AUD,USD,FX-SPOT,MID,1.39,2018-12-13,2018-07-05
NEW YORK,RUSDSEKSPOTFXMID2D_LOW,USD,SEK,FX-SPOT,MID,3,2018-12-13,2018-07-05
NEW YORK,RUSDCADSPOTFXMID2D_LOW,USD,CAD,FX-SPOT,MID,3,2018-12-13,2018-07-05
NEW YORK,RUSDTHBSPOTFXMID2D_LOW,USD,THB,FX-SPOT,MID,3,2018-12-13,2018-07-05
NEW YORK,RUSDCZKSPOTFXASK2D,USD,CZK,FX-SPOT,MID,3,2018-12-13,2018-07-05
NEW YORK,RNZDUSDSPOTFXMID2D_LOW,NZD,USD,FX-SPOT,MID,3,2018-12-13,2018-07-05
